Employee_ID,Training_Date,Training_Name,Training_Hours,Completion_Status,Assessment_Score
EMP10026,2019-10-08,Project Management,4,Completed,76.8
EMP10026,2019-07-06,Cyber Security,4,Completed,97.1
EMP10028,2025-08-18,Project Management,4,Completed,54.3
EMP10028,2024-06-03,Communication Skills,4,Cancelled,
EMP10028,2024-09-03,Data Analytics,8,Completed,83.0
EMP10028,2024-08-19,Power BI Fundamentals,16,Completed,89.5
EMP10028,2024-05-05,Cyber Security,16,Completed,65.6
EMP10029,2021-06-29,Communication Skills,40,Completed,84.3
EMP10029,2023-09-17,Data Analytics,16,No Show,
EMP10029,2022-09-07,Cyber Security,8,Completed,90.2
EMP10029,2025-01-13,Cyber Security,8,Completed,78.7
EMP10031,2025-12-03,Cyber Security,16,Completed,100.0
EMP10032,2026-02-16,Sales Negotiation,8,No Show,
EMP10033,2022-03-04,Power BI Fundamentals,16,Completed,100.0
EMP10034,2023-05-27,Project Management,24,Completed,86.2
EMP10034,2020-01-29,Leadership Essentials,16,In Progress,
EMP10034,2021-06-10,Sales Negotiation,8,Completed,76.1
EMP10035,2019-11-30,Data Analytics,24,Completed,55.5
EMP10035,2022-09-15,Leadership Essentials,8,Completed,70.7
EMP10036,2025-12-17,Power BI Fundamentals,4,Completed,88.7
EMP10038,2024-05-31,Advanced Excel,16,In Progress,
EMP10040,2026-05-11,Advanced Excel,24,Completed,74.8
EMP10040,2026-05-09,Project Management,24,Completed,75.6
EMP10042,2021-07-23,Project Management,4,Completed,74.7
EMP10042,2019-05-12,Cyber Security,4,Completed,74.1
EMP10046,2022-04-14,Data Analytics,4,Cancelled,
EMP10046,2022-01-04,Cyber Security,8,Completed,67.5
EMP10046,2022-01-14,Leadership Essentials,24,Completed,63.2
EMP10046,2022-12-08,Cyber Security,8,Completed,100.0
EMP10046,2020-11-03,Leadership Essentials,16,Completed,63.7
EMP10046,2021-02-16,Data Analytics,40,Completed,92.0
EMP10047,2023-11-18,Time Management,4,Completed,81.7
EMP10047,2025-05-24,Leadership Essentials,16,Completed,81.3
EMP10048,2023-06-11,Power BI Fundamentals,8,Completed,74.4
EMP10048,2023-06-15,Customer Handling,16,Completed,53.6
EMP10048,2025-12-01,Cyber Security,24,In Progress,
EMP10050,2026-01-23,Cyber Security,40,Completed,82.9
EMP10050,2025-03-01,Power BI Fundamentals,24,Completed,98.5
EMP10050,2024-05-19,Customer Handling,16,Completed,90.2
EMP10051,2023-12-29,Project Management,8,Completed,56.9
EMP10051,2024-06-22,Project Management,24,Completed,81.8
EMP10051,2025-04-30,Leadership Essentials,8,Completed,80.3
EMP10054,2022-06-05,Customer Handling,4,Completed,88.4
EMP10054,2025-01-26,Power BI Fundamentals,16,Completed,72.6
EMP10054,2022-08-22,Time Management,4,Completed,86.5
EMP10054,2023-05-02,Data Analytics,8,Completed,53.4
EMP10055,2022-04-28,Cyber Security,8,Cancelled,
EMP10055,2021-05-25,Sales Negotiation,24,Completed,91.7
EMP10056,2023-12-24,Communication Skills,16,Completed,86.4
EMP10056,2023-04-02,Power BI Fundamentals,16,Completed,89.1
EMP10056,2023-11-26,Time Management,16,Completed,61.2
EMP10057,2022-03-16,Time Management,4,Completed,73.2
EMP10057,2022-08-19,Sales Negotiation,24,Completed,57.6
EMP10057,2024-10-02,Project Management,24,Completed,87.0
EMP10058,2024-01-17,Cyber Security,8,Completed,61.5
EMP10058,2024-08-24,Communication Skills,16,In Progress,
EMP10059,2020-10-30,Customer Handling,8,No Show,
EMP10059,2019-12-02,Advanced Excel,16,In Progress,
EMP10059,2021-11-02,Leadership Essentials,16,Completed,95.2
EMP10059,2020-09-17,Power BI Fundamentals,16,Completed,87.9
EMP10060,2022-07-24,Project Management,40,Completed,95.0
EMP10060,2023-09-25,Cyber Security,16,Completed,71.1
EMP10062,2023-12-13,Data Analytics,8,Completed,97.8
EMP10062,2023-10-13,Power BI Fundamentals,8,In Progress,
EMP10063,2024-04-12,Power BI Fundamentals,8,In Progress,
EMP10063,2024-06-11,Customer Handling,16,Completed,84.0
EMP10063,2024-09-10,Communication Skills,40,Cancelled,
EMP10063,2025-07-11,Advanced Excel,8,Completed,62.9
EMP10063,2025-03-23,Power BI Fundamentals,8,In Progress,
EMP10064,2025-09-04,Power BI Fundamentals,16,Completed,71.6
EMP10064,2025-12-02,Customer Handling,4,No Show,
EMP10065,2025-08-07,Power BI Fundamentals,24,In Progress,
EMP10065,2025-06-06,Project Management,16,Completed,84.6
EMP10066,2023-08-23,Data Analytics,16,Completed,91.9
EMP10066,2022-11-17,Leadership Essentials,8,Completed,67.1
EMP10066,2025-04-05,Leadership Essentials,24,Completed,75.6
EMP10069,2025-02-22,Power BI Fundamentals,8,Completed,77.7
EMP10069,2023-05-25,Time Management,8,Completed,73.9
EMP10069,2022-09-17,Customer Handling,40,Completed,53.0
EMP10069,2022-12-08,Communication Skills,16,In Progress,
EMP10069,2024-07-07,Customer Handling,24,Completed,76.8
EMP10069,2023-03-03,Cyber Security,24,Completed,70.5
EMP10070,2026-01-02,Power BI Fundamentals,24,No Show,
EMP10071,2022-01-01,Advanced Excel,16,Completed,78.8
EMP10071,2024-10-04,Leadership Essentials,24,Completed,71.0
EMP10071,2025-04-15,Project Management,40,Completed,100.0
EMP10073,2026-06-03,Customer Handling,24,Completed,83.4
EMP10075,2025-09-27,Power BI Fundamentals,16,Completed,72.3
EMP10075,2025-08-04,Project Management,16,Completed,89.5
EMP10076,2025-06-02,Advanced Excel,24,Completed,89.0
EMP10077,2025-04-13,Leadership Essentials,40,Completed,81.8
EMP10078,2023-04-10,Advanced Excel,4,No Show,
EMP10078,2024-01-08,Sales Negotiation,4,Completed,87.7
EMP10078,2023-06-25,Customer Handling,8,No Show,
EMP10079,2025-04-26,Time Management,8,Completed,59.8
EMP10079,2025-08-16,Leadership Essentials,16,Completed,80.7
EMP10081,2024-04-29,Sales Negotiation,24,Completed,90.1
EMP10081,2026-02-06,Project Management,16,Completed,78.9
EMP10081,2023-03-09,Communication Skills,8,No Show,
EMP10083,2024-05-02,Time Management,4,Completed,71.0
EMP10084,2026-05-26,Time Management,8,Completed,60.3
EMP10086,2025-05-17,Power BI Fundamentals,16,Completed,93.7
EMP10086,2024-04-30,Time Management,8,Completed,82.2
EMP10087,2025-11-27,Communication Skills,16,In Progress,
EMP10087,2025-06-30,Project Management,16,Completed,90.4
EMP10089,2026-06-15,Customer Handling,8,Cancelled,
EMP10089,2022-09-17,Customer Handling,16,Completed,56.9
EMP10089,2022-12-21,Time Management,8,Completed,74.3
EMP10089,2022-06-01,Data Analytics,8,Completed,70.5
EMP10089,2025-07-05,CYBER SECURITY,24,Completed,77.2
EMP10091,2022-08-22,POWER BI FUNDAMENTALS,8,Completed,82.6
EMP10091,2021-06-21,Communication Skills,4,Completed,66.7
EMP10091,2022-11-16,Advanced Excel,4,In Progress,
EMP10091,2022-09-30,Project Management,16,No Show,
EMP10091,2022-11-18,Power BI Fundamentals,8,No Show,
EMP10091,2023-07-11,Time Management,8,Completed,89.7
EMP10093,2025-10-06,Communication Skills,16,Completed,64.3
EMP10095,2026-01-08,Project Management,24,Completed,90.4
EMP10096,2025-11-24,Sales Negotiation,16,Completed,78.1
EMP10096,2025-05-09,Advanced Excel,8,Completed,69.0
EMP10097,2025-02-04,Data Analytics,40,In Progress,
EMP10097,2020-06-22,Cyber Security,24,In Progress,
EMP10097,2022-05-18,Cyber Security,24,Completed,70.9
EMP10098,2023-12-27,Advanced Excel,8,Completed,81.2
EMP10098,2022-04-13,Advanced Excel,8,Completed,84.4
EMP10099,2025-05-06,Leadership Essentials,40,Completed,78.4
EMP10099,2025-06-24,Cyber Security,24,Completed,83.6
EMP10099,2026-01-13,Data Analytics,16,In Progress,
EMP10100,2026-05-27,Sales Negotiation,8,In Progress,
EMP10100,2025-06-10,Communication Skills,40,No Show,
EMP10101,2024-12-06,Sales Negotiation,24,Completed,79.2
EMP10102,2021-06-25,Advanced Excel,4,Completed,80.2
EMP10102,2022-03-14,Project Management,16,No Show,
EMP10102,2023-04-17,Power BI Fundamentals,16,Completed,76.5
EMP10102,2021-08-15,Cyber Security,4,Completed,93.8
EMP10102,2022-08-07,Time Management,8,In Progress,
EMP10103,2023-05-03,Power BI Fundamentals,8,Completed,93.8
EMP10103,2022-01-05,Power BI Fundamentals,16,Completed,76.5
EMP10103,2024-10-07,Cyber Security,8,Completed,88.2
EMP10103,2022-10-14,Customer Handling,24,Completed,73.3
EMP10104,2025-05-18,Time Management,16,Completed,83.2
EMP10105,2022-09-02,Sales Negotiation,16,Completed,62.3
EMP10105,2023-09-10,Cyber Security,16,Completed,85.9
EMP10106,2025-12-29,Sales Negotiation,8,Completed,69.5
EMP10107,2021-05-30,Sales Negotiation,24,In Progress,
EMP10107,2024-08-21,Cyber Security,4,Completed,83.4
EMP10107,2023-10-06,Data Analytics,24,Completed,89.2
EMP10110,2022-08-12,Data Analytics,24,Completed,74.0
EMP10110,2022-06-05,Power BI Fundamentals,40,In Progress,
EMP10111,2023-02-28,Data Analytics,16,Completed,81.0
EMP10111,2023-12-18,Sales Negotiation,24,Completed,64.5
EMP10111,2021-09-25,Sales Negotiation,40,Completed,71.7
EMP10111,2021-08-28,Data Analytics,40,Completed,86.2
EMP10112,2024-11-05,Power BI Fundamentals,16,Completed,85.4
EMP10112,2022-06-20,Power BI Fundamentals,8,In Progress,
EMP10113,2023-06-02,Advanced Excel,16,In Progress,
EMP10114,2023-09-16,Communication Skills,24,Completed,84.1
EMP10114,2025-05-15,Sales Negotiation,16,In Progress,
EMP10114,2024-04-16,Sales Negotiation,16,Completed,67.2
EMP10115,2022-06-28,Leadership Essentials,24,Completed,87.5
EMP10115,2025-09-20,Data Analytics,4,In Progress,
EMP10115,2022-10-26,Power BI Fundamentals,24,Completed,100.0
EMP10115,2023-09-16,Project Management,24,Completed,63.4
EMP10116,2025-12-04,Advanced Excel,16,In Progress,
EMP10117,2023-07-14,Time Management,8,Completed,83.3
EMP10117,2022-04-18,Cyber Security,8,Completed,100.0
EMP10119,2025-02-16,Advanced Excel,4,Completed,73.1
EMP10119,2022-12-16,Advanced Excel,24,Cancelled,
EMP10120,2021-07-06,Project Management,8,Completed,95.5
EMP10120,2024-03-21,Time Management,8,Completed,82.0
EMP10120,2022-04-19,Customer Handling,16,No Show,
EMP10121,2026-02-09,Leadership Essentials,16,In Progress,
EMP10122,2025-01-22,Power BI Fundamentals,16,In Progress,
EMP10122,2024-08-18,Data Analytics,40,Cancelled,
EMP10122,2024-06-06,Advanced Excel,8,In Progress,
EMP10122,2024-01-12,Project Management,40,Completed,80.1
EMP10123,2024-09-26,Customer Handling,16,Completed,82.7
EMP10123,2025-01-04,Project Management,4,In Progress,
EMP10123,2025-03-16,Customer Handling,8,Completed,100.0
EMP10123,2025-12-19,Customer Handling,16,Completed,74.9
EMP10123,2025-11-11,Sales Negotiation,16,Completed,84.4
EMP10124,2019-05-11,Leadership Essentials,16,Completed,76.4
EMP10124,2021-12-05,Data Analytics,16,Completed,65.5
EMP10124,2023-06-10,Data Analytics,4,In Progress,
EMP10125,2025-07-18,Time Management,4,Cancelled,
EMP10125,2025-07-06,Cyber Security,24,No Show,
EMP10125,2022-08-06,Leadership Essentials,8,Completed,95.0
EMP10126,2025-02-15,Customer Handling,16,Completed,82.4
EMP10127,2026-04-17,Customer Handling,8,Completed,58.1
EMP10128,2025-08-28,Communication Skills,8,Completed,77.3
EMP10129,2026-02-19,Data Analytics,8,Completed,72.8
EMP10129,2023-02-28,Sales Negotiation,24,Completed,59.4
EMP10130,2020-07-12,Leadership Essentials,24,Completed,82.8
EMP10130,2021-12-23,Advanced Excel,16,Completed,79.0
EMP10130,2022-05-27,Power BI Fundamentals,8,Cancelled,
EMP10131,2023-03-16,Project Management,8,Completed,58.8
EMP10131,2022-11-30,Advanced Excel,16,No Show,
EMP10131,2020-04-07,Leadership Essentials,16,Completed,95.1
EMP10134,2023-07-24,Cyber Security,24,Cancelled,
EMP10134,2022-08-31,Sales Negotiation,24,No Show,
EMP10134,2022-09-11,Time Management,8,Completed,85.9
EMP10134,2021-01-20,Customer Handling,24,Completed,88.6
EMP10134,2019-11-18,Time Management,16,Completed,78.3
EMP10134,2023-09-14,Sales Negotiation,24,Completed,90.0
EMP10137,2025-07-26,Project Management,16,Completed,78.0
EMP10137,2022-11-29,Cyber Security,16,Completed,70.5
EMP10137,2024-08-23,Sales Negotiation,24,In Progress,
EMP10139,2025-10-02,Time Management,8,Completed,85.9
EMP10139,2025-07-25,Data Analytics,40,Completed,85.7
EMP10141,2022-06-10,Data Analytics,8,Completed,63.2
EMP10141,2025-11-26,Power BI Fundamentals,4,No Show,
EMP10141,2024-09-10,Sales Negotiation,8,Completed,75.4
EMP10142,2025-02-19,Sales Negotiation,8,In Progress,
EMP10142,2023-05-09,Sales Negotiation,4,Completed,68.3
EMP10143,2024-11-23,Data Analytics,4,Completed,55.0
EMP10144,2025-09-12,Project Management,16,Completed,78.2
EMP10145,2022-04-09,Advanced Excel,16,Completed,61.9
EMP10147,2020-03-27,Time Management,16,Cancelled,
EMP10147,2021-06-28,Time Management,8,In Progress,
EMP10148,2026-04-20,Cyber Security,8,Completed,80.6
EMP10151,2026-03-12,Cyber Security,16,Completed,63.5
EMP10152,2023-09-16,Communication Skills,4,Completed,91.7
EMP10152,2022-12-04,Cyber Security,24,Completed,79.4
EMP10152,2019-12-18,Project Management,16,No Show,
EMP10153,2020-01-06,POWER BI FUNDAMENTALS,4,Completed,72.4
EMP10153,2022-05-16,Leadership Essentials,24,In Progress,
EMP10153,2023-07-29,Sales Negotiation,4,Completed,100.0
EMP10154,2026-06-15,Customer Handling,16,Completed,63.5
EMP10155,2025-04-02,Advanced Excel,8,Completed,79.7
EMP10155,2023-09-24,Data Analytics,16,Completed,58.9
EMP10155,2024-02-13,Leadership Essentials,16,Completed,80.8
EMP10155,2026-04-02,Time Management,24,Completed,61.2
EMP10156,2025-06-30,Customer Handling,4,Completed,88.4
EMP10159,2022-10-23,Power BI Fundamentals,40,Completed,87.4
EMP10159,2020-05-11,Advanced Excel,16,Completed,85.5
EMP10159,2023-07-15,Power BI Fundamentals,4,Completed,91.3
EMP10160,2022-07-29,Advanced Excel,40,In Progress,
EMP10160,2022-09-14,Communication Skills,24,Completed,85.1
EMP10161,2025-07-18,Time Management,16,Completed,69.8
EMP10161,2026-01-04,Power BI Fundamentals,24,Completed,85.4
EMP10162,2022-07-08,Time Management,24,Completed,77.4
EMP10163,2022-12-27,Leadership Essentials,4,Completed,77.3
EMP10163,2021-06-19,Time Management,40,Cancelled,
EMP10163,2022-04-01,Power BI Fundamentals,16,Completed,71.5
EMP10165,2021-05-28,Communication Skills,24,Completed,65.8
EMP10165,2022-09-26,Sales Negotiation,8,Cancelled,
EMP10166,2026-03-22,Power BI Fundamentals,16,Completed,73.9
EMP10166,2025-02-15,Leadership Essentials,8,Completed,76.7
EMP10166,2026-01-22,Advanced Excel,8,Completed,87.4
EMP10166,2022-09-11,Power BI Fundamentals,24,Completed,62.2
EMP10167,2021-12-11,Data Analytics,24,Completed,90.1
EMP10167,2023-11-11,Leadership Essentials,24,In Progress,
EMP10167,2022-09-11,Customer Handling,16,Completed,71.6
EMP10167,2022-08-21,Communication Skills,40,In Progress,
EMP10168,2024-11-01,Communication Skills,16,Completed,83.4
EMP10169,2026-02-07,Time Management,8,Completed,80.4
EMP10170,2023-06-18,Sales Negotiation,24,Completed,71.9
EMP10170,2026-04-24,Advanced Excel,40,Completed,65.5
EMP10170,2023-05-27,Power BI Fundamentals,8,Completed,74.6
EMP10171,2019-09-07,Time Management,4,Completed,70.3
EMP10171,2020-07-01,Project Management,16,In Progress,
EMP10171,2020-08-08,Cyber Security,24,Completed,81.8
EMP10171,2022-08-08,Time Management,40,In Progress,
EMP10172,2025-05-25,Leadership Essentials,16,Completed,75.5
EMP10173,2025-02-16,Sales Negotiation,8,Completed,77.8
EMP10173,2023-11-13,Leadership Essentials,16,Completed,84.3
EMP10173,2025-06-23,Project Management,8,Completed,87.3
EMP10175,2021-01-31,Cyber Security,8,In Progress,
EMP10175,2023-11-09,Data Analytics,4,Completed,68.1
EMP10175,2023-07-02,Cyber Security,16,No Show,
EMP10175,2023-04-16,Leadership Essentials,40,Completed,69.7
EMP10176,2020-11-17,Power BI Fundamentals,16,Completed,89.6
EMP10177,2025-02-13,Project Management,40,Completed,100.0
EMP10177,2020-12-14,Cyber Security,16,In Progress,
EMP10177,2022-11-23,Customer Handling,4,Completed,95.2
EMP10177,2024-01-10,Advanced Excel,16,Completed,69.9
EMP10178,2026-03-01,Advanced Excel,4,Completed,99.8
EMP10179,2021-08-18,Advanced Excel,40,Completed,73.9
EMP10179,2023-09-02,Power BI Fundamentals,8,Completed,90.7
EMP10179,2024-05-31,Data Analytics,8,In Progress,
EMP10180,2022-05-03,Customer Handling,16,Completed,75.0
EMP10181,2021-07-09,Data Analytics,8,Cancelled,
EMP10182,2024-10-19,Data Analytics,4,Completed,83.9
EMP10183,2024-12-22,Customer Handling,24,Completed,79.8
EMP10183,2023-03-30,Advanced Excel,16,Completed,81.8
EMP10184,2023-11-05,Data Analytics,8,No Show,
EMP10184,2023-01-19,Customer Handling,4,Cancelled,
EMP10185,2024-05-17,Cyber Security,8,Completed,54.4
EMP10185,2025-07-24,Data Analytics,16,Cancelled,
EMP10187,2025-10-25,Leadership Essentials,24,Completed,73.7
EMP10188,2022-10-21,Time Management,16,Completed,76.7
EMP10188,2023-08-15,Project Management,24,In Progress,
EMP10189,2025-05-04,DATA ANALYTICS,24,Completed,62.0
EMP10190,2025-05-26,Leadership Essentials,4,Completed,82.4
EMP10191,2022-08-01,Leadership Essentials,4,Completed,98.7
EMP10192,2021-03-25,Customer Handling,16,Completed,55.1
EMP10192,2023-03-22,Cyber Security,4,Completed,96.3
EMP10193,2026-01-09,Advanced Excel,8,Completed,78.0
EMP10193,2025-09-10,Project Management,24,Completed,52.4
EMP10194,2023-08-09,Data Analytics,8,No Show,
EMP10194,2024-01-25,Cyber Security,24,Completed,83.0
EMP10194,2024-12-15,Project Management,8,Completed,81.0
EMP10194,2024-02-29,Customer Handling,16,Completed,87.7
EMP10195,2025-01-27,Cyber Security,24,Cancelled,
EMP10196,2026-06-15,Advanced Excel,8,In Progress,
EMP10197,2019-08-23,Leadership Essentials,8,In Progress,
EMP10197,2020-10-01,Communication Skills,16,Completed,64.2
EMP10197,2021-11-15,Communication Skills,16,Completed,64.1
EMP10199,2020-11-18,Time Management,24,Completed,66.3
EMP10199,2025-02-24,Time Management,24,In Progress,
EMP10199,2023-03-29,Communication Skills,8,No Show,
EMP10200,2025-08-29,Sales Negotiation,16,Completed,96.2
EMP10200,2024-03-21,Power BI Fundamentals,24,In Progress,
EMP10200,2025-06-22,Power BI Fundamentals,16,Completed,75.6
EMP10202,2025-07-16,Cyber Security,8,Completed,85.7
EMP10204,2025-12-04,Advanced Excel,8,Completed,70.9
EMP10206,2026-06-05,Customer Handling,24,Completed,76.8
EMP10206,2025-10-20,Leadership Essentials,4,Completed,54.1
EMP10206,2025-08-09,Project Management,4,Completed,75.8
EMP10206,2025-03-01,Sales Negotiation,8,Completed,79.1
EMP10207,2026-03-01,Power BI Fundamentals,40,Completed,84.9
EMP10208,2026-05-24,Cyber Security,24,Completed,68.4
EMP10208,2025-04-18,Advanced Excel,40,In Progress,
EMP10209,2025-02-13,Sales Negotiation,40,Completed,86.1
EMP10209,2023-12-08,Leadership Essentials,16,Completed,95.1
EMP10209,2026-04-18,Cyber Security,4,Completed,85.0
EMP10209,2025-04-22,Communication Skills,16,Completed,63.7
EMP10209,2025-09-02,Leadership Essentials,8,Completed,74.0
EMP10210,2022-06-07,Customer Handling,8,No Show,
EMP10210,2021-02-18,Power BI Fundamentals,16,Cancelled,
EMP10210,2024-01-04,Time Management,16,Completed,93.9
EMP10210,2021-02-20,Advanced Excel,24,Completed,78.8
EMP10211,2025-12-09,Communication Skills,8,Completed,75.9
EMP10213,2026-06-08,Power BI Fundamentals,4,Completed,79.3
EMP10215,2024-02-15,Data Analytics,4,In Progress,
EMP10215,2024-01-26,Customer Handling,16,Completed,64.8
EMP10216,2021-08-01,Time Management,40,Completed,65.7
EMP10216,2022-01-07,Cyber Security,24,Completed,59.0
EMP10217,2024-07-26,Sales Negotiation,4,Completed,68.4
EMP10217,2024-08-16,Advanced Excel,4,Completed,64.1
EMP10219,2026-06-02,Power BI Fundamentals,16,Completed,98.4
EMP10219,2025-03-25,Communication Skills,8,Completed,63.7
EMP10221,2025-09-12,Data Analytics,16,Cancelled,
EMP10222,2020-12-19,Project Management,4,Completed,66.1
EMP10222,2022-09-13,Power BI Fundamentals,24,In Progress,
EMP10222,2021-11-23,Data Analytics,16,Completed,81.1
EMP10224,2024-02-05,Communication Skills,4,In Progress,
EMP10224,2025-10-26,Power BI Fundamentals,24,Completed,86.7
EMP10225,2024-06-19,Cyber Security,8,Completed,94.6
EMP10225,2024-03-19,Power BI Fundamentals,4,Completed,75.7
EMP10225,2024-06-08,Sales Negotiation,16,Cancelled,
EMP10226,2023-08-25,Leadership Essentials,24,Cancelled,
EMP10227,2024-09-02,Leadership Essentials,8,Completed,76.1
EMP10227,2024-11-06,Sales Negotiation,4,In Progress,
EMP10228,2024-07-10,Time Management,24,Completed,100.0
EMP10228,2023-02-26,Customer Handling,24,Completed,56.2
EMP10228,2023-01-13,Data Analytics,16,Cancelled,
EMP10229,2022-03-14,Leadership Essentials,16,Completed,74.0
EMP10229,2020-09-02,Leadership Essentials,8,Cancelled,
EMP10229,2021-12-14,Sales Negotiation,16,Completed,79.1
EMP10229,2022-03-13,Customer Handling,8,Completed,64.5
EMP10231,2023-07-18,Time Management,4,In Progress,
EMP10231,2026-01-01,Customer Handling,8,Completed,79.9
EMP10231,2024-03-30,Cyber Security,4,No Show,
EMP10232,2021-07-20,Project Management,8,Completed,62.4
EMP10232,2023-09-03,Communication Skills,16,Completed,100.0
EMP10234,2023-02-25,Time Management,4,Completed,90.7
EMP10234,2025-08-19,Power BI Fundamentals,24,Completed,76.6
EMP10235,2023-03-30,CUSTOMER HANDLING,40,Completed,70.6
EMP10235,2023-05-23,Leadership Essentials,4,No Show,
EMP10235,2025-08-02,Data Analytics,16,Cancelled,
EMP10235,2025-10-25,Power BI Fundamentals,8,Completed,75.3
EMP10237,2026-05-06,Time Management,16,In Progress,
EMP10237,2025-08-01,Advanced Excel,40,Completed,82.2
EMP10237,2025-05-01,Customer Handling,4,No Show,
EMP10237,2023-09-19,Advanced Excel,4,Completed,64.6
EMP10238,2024-07-15,Cyber Security,16,No Show,
EMP10238,2026-05-08,Advanced Excel,16,Completed,87.0
EMP10238,2023-06-07,Data Analytics,24,Completed,71.6
EMP10238,2025-07-22,Power BI Fundamentals,16,Completed,60.3
EMP10239,2023-07-06,Customer Handling,4,In Progress,
EMP10239,2025-03-12,Cyber Security,40,In Progress,
EMP10240,2026-04-19,Communication Skills,8,Completed,79.6
EMP10240,2024-12-06,Time Management,24,Completed,54.5
EMP10241,2024-10-16,Power BI Fundamentals,4,Completed,76.8
EMP10242,2025-08-13,Project Management,4,Completed,53.8
EMP10242,2023-01-03,Project Management,24,In Progress,
EMP10243,2020-12-08,CUSTOMER HANDLING,24,Completed,61.0
EMP10243,2023-11-05,Sales Negotiation,4,In Progress,
EMP10243,2024-01-11,Customer Handling,16,No Show,
EMP10246,2024-06-22,Communication Skills,16,Completed,84.8
EMP10246,2023-03-20,Project Management,24,Completed,92.9
EMP10247,2025-09-06,Project Management,8,Completed,83.1
EMP10247,2025-01-04,Communication Skills,8,Completed,82.8
EMP10247,2022-02-01,Sales Negotiation,24,Completed,87.7
EMP10248,2023-06-17,Time Management,8,Completed,77.8
EMP10250,2024-03-21,Project Management,8,Completed,72.7
EMP10250,2025-03-22,Leadership Essentials,4,In Progress,
EMP10250,2026-02-06,Data Analytics,16,Completed,83.3
EMP10252,2025-09-17,Leadership Essentials,8,Completed,45.2
EMP10252,2025-05-28,Time Management,16,In Progress,
EMP10253,2024-09-07,Sales Negotiation,24,Completed,87.9
EMP10253,2022-07-08,Leadership Essentials,24,Completed,57.5
EMP10254,2021-06-26,Leadership Essentials,40,Completed,72.7
EMP10256,2024-06-16,Data Analytics,8,In Progress,
EMP10257,2026-01-26,Cyber Security,40,Completed,73.6
EMP10259,2025-02-27,Power BI Fundamentals,24,Completed,64.3
EMP10260,2024-10-30,Sales Negotiation,16,Completed,57.3
EMP10262,2023-10-15,Cyber Security,40,In Progress,
EMP10263,2022-10-13,Power BI Fundamentals,8,Completed,60.4
EMP10263,2022-01-29,Advanced Excel,16,Completed,85.2
EMP10263,2022-06-17,Advanced Excel,24,No Show,
EMP10263,2022-01-23,Power BI Fundamentals,8,Completed,96.1
EMP10265,2025-09-24,Leadership Essentials,24,Completed,76.6
EMP10266,2021-05-16,Sales Negotiation,4,Completed,84.0
EMP10266,2019-07-26,Advanced Excel,8,Completed,73.6
EMP10266,2022-08-02,Project Management,24,Completed,69.3
EMP10267,2025-11-29,Cyber Security,40,Completed,60.8
EMP10267,2024-06-25,Time Management,16,Completed,83.3
EMP10268,2024-02-02,Project Management,16,Completed,71.9
EMP10268,2024-02-14,Cyber Security,8,Completed,96.1
EMP10269,2020-07-10,Data Analytics,24,Completed,100.0
EMP10269,2021-07-25,Leadership Essentials,8,Completed,100.0
