Employee_ID,Event_Date,Event_Type,Old_Department_ID,New_Department_ID,Event_Reason
EMP10096,2024-05-07,Transfer,107.0,107.0,Business transfer
EMP10096,2026-04-27,Resignation,107.0,107.0,Voluntary exit
EMP10097,2020-04-20,Joining,,,Initial employment
EMP10097,2021-09-21,Leave of Absence,101.0,101.0,Temporary leave
EMP10097,2022-05-02,Leave of Absence,101.0,101.0,Temporary leave
EMP10098,2021-09-03,Joining,,,Initial employment
EMP10098,2025-04-18,Transfer,102.0,105.0,Business transfer
EMP10098,2026-02-05,Leave of Absence,102.0,102.0,Temporary leave
EMP10099,2022-04-22,Joining,,,Initial employment
EMP10099,2023-03-15,Transfer,103.0,102.0,Business transfer
EMP10099,2023-07-19,Promotion,103.0,103.0,Role progression
EMP10100,2021-11-09,Joining,,,Initial employment
EMP10100,2025-12-08,Manager Change,102.0,102.0,Reporting-line change
EMP10101,2024-05-14,Joining,,,Initial employment
EMP10102,2020-07-11,Joining,,,Initial employment
EMP10102,2024-04-11,Manager Change,108.0,108.0,Reporting-line change
EMP10102,2021-04-02,Promotion,108.0,108.0,Role progression
EMP10102,2024-05-14,Promotion,108.0,108.0,Role progression
EMP10103,2021-10-14,Joining,,,Initial employment
EMP10104,2023-05-25,Joining,,,Initial employment
EMP10104,2025-01-07,Termination,102.0,102.0,Involuntary exit
EMP10104,2026-04-27,Promotion,102.0,102.0,Role progression
EMP10105,2021-06-01,Joining,,,Initial employment
EMP10105,2025-08-15,Termination,108.0,108.0,Involuntary exit
EMP10106,2025-01-03,Joining,,,Initial employment
EMP10107,2020-10-27,Joining,,,Initial employment
EMP10108,2026-04-21,Joining,,,Initial employment
EMP10109,2023-11-07,Joining,,,Initial employment
EMP10110,2021-05-13,Joining,,,Initial employment
EMP10110,2022-03-05,Manager Change,104.0,104.0,Reporting-line change
EMP10111,2020-08-04,Joining,,,Initial employment
EMP10111,2024-09-22,Promotion,107.0,107.0,Role progression
EMP10111,2022-02-23,Transfer,107.0,107.0,Business transfer
EMP10111,2024-05-02,Manager Change,107.0,107.0,Reporting-line change
EMP10111,2022-01-17,Manager Change,107.0,107.0,Reporting-line change
EMP10112,2020-11-25,Joining,,,Initial employment
EMP10112,2025-10-14,Transfer,107.0,102.0,Business transfer
EMP10112,2021-08-25,Manager Change,107.0,107.0,Reporting-line change
EMP10113,2022-06-05,Joining,,,Initial employment
EMP10113,2025-04-18,Resignation,102.0,102.0,Voluntary exit
EMP10113,2024-04-16,Transfer,102.0,102.0,Business transfer
EMP10114,2023-05-30,Joining,,,Initial employment
EMP10114,2026-03-21,Leave of Absence,103.0,103.0,Temporary leave
EMP10114,2024-08-27,Promotion,103.0,103.0,Role progression
EMP10115,2022-05-24,Joining,,,Initial employment
EMP10115,2023-06-26,Promotion,107.0,107.0,Role progression
EMP10115,2022-12-24,Promotion,107.0,107.0,Role progression
EMP10115,2025-01-01,Promotion,107.0,107.0,Role progression
EMP10116,2025-09-20,Joining,,,Initial employment
EMP10117,2020-02-03,Joining,,,Initial employment
EMP10118,2024-04-30,Joining,,,Initial employment
EMP10119,2020-12-15,Joining,,,Initial employment
EMP10119,2025-02-27,Manager Change,105.0,105.0,Reporting-line change
EMP10120,2020-12-04,Joining,,,Initial employment
EMP10120,2023-12-09,Promotion,106.0,106.0,Role progression
EMP10121,2025-12-21,Joining,,,Initial employment
EMP10122,2023-09-11,Joining,,,Initial employment
EMP10122,2024-05-14,Manager Change,107.0,107.0,Reporting-line change
EMP10123,2024-05-26,Joining,,,Initial employment
EMP10123,2025-08-18,Manager Change,103.0,103.0,Reporting-line change
EMP10124,2019-03-23,Joining,,,Initial employment
EMP10124,2023-01-19,Manager Change,101.0,101.0,Reporting-line change
EMP10124,2025-01-16,Termination,101.0,101.0,Involuntary exit
EMP10124,2020-06-24,Promotion,101.0,101.0,Role progression
EMP10125,2020-08-26,Joining,,,Initial employment
EMP10125,2022-03-30,Termination,103.0,103.0,Involuntary exit
EMP10125,2022-05-10,Resignation,103.0,103.0,Voluntary exit
EMP10125,2021-04-23,Promotion,103.0,103.0,Role progression
EMP10126,2024-05-24,Joining,,,Initial employment
EMP10126,2025-07-31,Resignation,106.0,106.0,Voluntary exit
EMP10126,2025-07-15,Manager Change,106.0,106.0,Reporting-line change
EMP10127,2023-09-07,Joining,,,Initial employment
EMP10127,2024-10-18,Transfer,103.0,105.0,Business transfer
EMP10127,2025-11-19,Promotion,103.0,103.0,Role progression
EMP10128,2024-08-08,Joining,,,Initial employment
EMP10128,2025-06-15,Resignation,106.0,106.0,Voluntary exit
EMP10129,2021-06-21,Joining,,,Initial employment
EMP10130,2019-12-31,Joining,,,Initial employment
EMP10130,2022-12-13,Manager Change,105.0,105.0,Reporting-line change
EMP10130,2023-10-08,Manager Change,105.0,105.0,Reporting-line change
EMP10131,2019-06-12,Joining,,,Initial employment
EMP10132,2026-01-02,Joining,,,Initial employment
EMP10133,2024-02-07,Joining,,,Initial employment
EMP10133,2026-02-05,Promotion,104.0,104.0,Role progression
EMP10134,2019-04-26,Joining,,,Initial employment
EMP10135,2025-07-12,Joining,,,Initial employment
EMP10135,2026-05-17,Manager Change,102.0,102.0,Reporting-line change
EMP10136,2021-05-30,Joining,,,Initial employment
EMP10136,2022-08-22,Manager Change,106.0,106.0,Reporting-line change
EMP10137,2021-04-19,Joining,,,Initial employment
EMP10137,2025-05-13,Rehire,103.0,103.0,Returned employee
EMP10137,2024-11-28,Transfer,103.0,105.0,Business transfer
EMP10138,2025-01-03,Joining,,,Initial employment
EMP10139,2022-09-08,Joining,,,Initial employment
EMP10139,2024-10-15,Termination,108.0,108.0,Involuntary exit
EMP10140,2025-10-26,Joining,,,Initial employment
EMP10141,2021-11-02,Joining,,,Initial employment
EMP10141,2026-04-16,Transfer,108.0,107.0,Business transfer
EMP10142,2021-07-31,Joining,,,Initial employment
EMP10142,2022-08-18,Transfer,103.0,103.0,Business transfer
EMP10143,2023-09-21,Joining,,,Initial employment
EMP10144,2025-05-23,Joining,,,Initial employment
EMP10144,2026-01-20,Manager Change,107.0,107.0,Reporting-line change
EMP10145,2022-02-11,Joining,,,Initial employment
EMP10146,2025-12-02,Joining,,,Initial employment
EMP10147,2019-01-22,Joining,,,Initial employment
EMP10147,2020-07-31,Transfer,102.0,105.0,Business transfer
EMP10148,2023-10-16,Joining,,,Initial employment
EMP10149,2020-11-13,Joining,,,Initial employment
EMP10150,2024-01-08,Joining,,,Initial employment
EMP10151,2025-06-25,Joining,,,Initial employment
EMP10152,2019-05-06,Joining,,,Initial employment
EMP10153,2019-10-04,Joining,,,Initial employment
EMP10153,2023-09-03,Transfer,108.0,104.0,Business transfer
EMP10154,2024-06-22,Joining,,,Initial employment
EMP10154,2026-05-13,Rehire,102.0,102.0,Returned employee
EMP10155,2022-05-12,Joining,,,Initial employment
EMP10155,2023-03-26,Rehire,106.0,106.0,Returned employee
EMP10155,2024-04-23,Manager Change,106.0,106.0,Reporting-line change
EMP10155,2022-12-29,Transfer,106.0,104.0,Business transfer
EMP10155,2023-03-31,Rehire,106.0,106.0,Returned employee
EMP10155,2025-04-30,Manager Change,106.0,106.0,Reporting-line change
EMP10156,2025-02-19,Joining,,,Initial employment
EMP10157,2020-11-26,Joining,,,Initial employment
EMP10157,2024-04-12,Promotion,104.0,104.0,Role progression
EMP10158,2022-08-02,Joining,,,Initial employment
EMP10158,2024-07-06,Promotion,101.0,101.0,Role progression
EMP10158,2026-05-01,Transfer,101.0,107.0,Business transfer
EMP10158,2025-03-14,Transfer,101.0,104.0,Business transfer
EMP10158,2024-03-29,Termination,101.0,101.0,Involuntary exit
EMP10159,2019-02-26,Joining,,,Initial employment
EMP10160,2019-01-19,Joining,,,Initial employment
EMP10160,2019-11-17,Transfer,105.0,101.0,Business transfer
EMP10160,2024-05-12,Leave of Absence,105.0,105.0,Temporary leave
EMP10161,2025-04-30,Joining,,,Initial employment
EMP10162,2019-04-23,Joining,,,Initial employment
EMP10163,2020-06-25,Joining,,,Initial employment
EMP10163,2023-11-13,Manager Change,108.0,108.0,Reporting-line change
EMP10163,2023-08-28,Promotion,108.0,108.0,Role progression
EMP10163,2024-12-22,Resignation,108.0,108.0,Voluntary exit
EMP10164,2026-05-18,Joining,,,Initial employment
EMP10165,2020-08-01,Joining,,,Initial employment
EMP10165,2023-06-15,Resignation,102.0,102.0,Voluntary exit
EMP10165,2024-08-17,Promotion,102.0,102.0,Role progression
EMP10165,2025-05-16,Manager Change,102.0,102.0,Reporting-line change
EMP10165,2023-01-09,Transfer,102.0,108.0,Business transfer
EMP10166,2021-12-24,Joining,,,Initial employment
EMP10167,2019-01-25,Joining,,,Initial employment
EMP10167,2022-04-14,Manager Change,101.0,101.0,Reporting-line change
EMP10168,2023-04-22,Joining,,,Initial employment
EMP10169,2024-08-10,Joining,,,Initial employment
EMP10170,2023-04-22,Joining,,,Initial employment
EMP10171,2019-05-21,Joining,,,Initial employment
EMP10171,2024-05-31,Promotion,107.0,107.0,Role progression
EMP10171,2022-05-12,Transfer,107.0,101.0,Business transfer
EMP10171,2025-01-29,Manager Change,107.0,107.0,Reporting-line change
EMP10172,2023-11-03,Joining,,,Initial employment
EMP10173,2020-10-09,Joining,,,Initial employment
EMP10174,2025-02-13,Joining,,,Initial employment
EMP10175,2019-07-20,Joining,,,Initial employment
EMP10175,2020-03-17,Manager Change,107.0,107.0,Reporting-line change
EMP10175,2025-05-08,Promotion,107.0,107.0,Role progression
EMP10176,2019-09-14,Joining,,,Initial employment
EMP10176,2021-03-12,Promotion,102.0,102.0,Role progression
EMP10176,2020-07-12,Resignation,102.0,102.0,Voluntary exit
EMP10177,2020-06-30,Joining,,,Initial employment
EMP10177,2024-01-04,Resignation,107.0,107.0,Voluntary exit
EMP10177,2023-05-13,Termination,107.0,107.0,Involuntary exit
EMP10178,2025-02-19,Joining,,,Initial employment
EMP10179,2021-03-12,Joining,,,Initial employment
EMP10179,2023-11-17,Manager Change,107.0,107.0,Reporting-line change
EMP10179,2022-08-23,Promotion,107.0,107.0,Role progression
EMP10180,2021-07-30,Joining,,,Initial employment
EMP10180,2022-04-11,Rehire,107.0,107.0,Returned employee
EMP10181,2020-02-18,Joining,,,Initial employment
EMP10181,2025-09-17,Rehire,101.0,101.0,Returned employee
EMP10181,2021-03-23,Leave of Absence,101.0,101.0,Temporary leave
EMP10182,2024-07-07,Joining,,,Initial employment
EMP10182,2025-06-29,Resignation,103.0,103.0,Voluntary exit
EMP10183,2022-10-13,Joining,,,Initial employment
EMP10183,2025-05-29,Resignation,101.0,101.0,Voluntary exit
EMP10183,2025-11-30,Transfer,101.0,104.0,Business transfer
EMP10184,2022-01-03,Joining,,,Initial employment
EMP10184,2025-06-29,Rehire,106.0,106.0,Returned employee
EMP10184,2022-09-01,Manager Change,106.0,106.0,Reporting-line change
EMP10185,2021-06-28,Joining,,,Initial employment
EMP10186,2019-07-07,Joining,,,Initial employment
EMP10186,2024-04-29,Termination,105.0,105.0,Involuntary exit
EMP10186,2023-06-16,Transfer,105.0,106.0,Business transfer
EMP10186,2021-07-06,Promotion,105.0,105.0,Role progression
EMP10187,2024-07-08,Joining,,,Initial employment
EMP10188,2022-08-06,Joining,,,Initial employment
EMP10189,2024-09-23,Joining,,,Initial employment
EMP10190,2024-10-31,Joining,,,Initial employment
EMP10191,2022-02-20,Joining,,,Initial employment
EMP10191,2025-08-19,Transfer,104.0,101.0,Business transfer
EMP10192,2019-12-24,Joining,,,Initial employment
EMP10192,2020-08-12,Transfer,107.0,102.0,Business transfer
EMP10192,2021-06-15,Resignation,107.0,107.0,Voluntary exit
EMP10192,2022-04-12,Transfer,107.0,107.0,Business transfer
EMP10193,2023-04-01,Joining,,,Initial employment
EMP10193,2025-07-24,Transfer,106.0,104.0,Business transfer
EMP10193,2025-08-11,Transfer,106.0,101.0,Business transfer
EMP10194,2021-12-25,Joining,,,Initial employment
EMP10194,2024-05-13,Transfer,103.0,102.0,Business transfer
EMP10194,2024-02-02,Resignation,103.0,103.0,Voluntary exit
EMP10195,2023-08-08,Joining,,,Initial employment
EMP10195,2025-01-06,Transfer,108.0,101.0,Business transfer
EMP10196,2025-08-19,Joining,,,Initial employment
EMP10197,2019-06-11,Joining,,,Initial employment
EMP10198,2025-06-27,Joining,,,Initial employment
EMP10198,2026-04-03,Rehire,104.0,104.0,Returned employee
EMP10199,2020-03-25,Joining,,,Initial employment
EMP10199,2022-12-14,Transfer,102.0,102.0,Business transfer
EMP10199,2025-04-13,Resignation,102.0,102.0,Voluntary exit
EMP10200,2023-02-06,Joining,,,Initial employment
EMP10200,2024-02-22,Rehire,101.0,101.0,Returned employee
EMP10200,2024-01-30,Resignation,101.0,101.0,Voluntary exit
EMP10201,2021-11-02,Joining,,,Initial employment
EMP10202,2025-02-09,Joining,,,Initial employment
EMP10203,2024-11-28,Joining,,,Initial employment
EMP10204,2024-05-04,Joining,,,Initial employment
EMP10204,2026-03-18,Promotion,104.0,104.0,Role progression
EMP10205,2025-12-30,Joining,,,Initial employment
EMP10206,2022-08-06,Joining,,,Initial employment
EMP10206,2023-08-22,Leave of Absence,105.0,105.0,Temporary leave
EMP10207,2025-05-31,Joining,,,Initial employment
EMP10208,2022-05-23,Joining,,,Initial employment
EMP10208,2025-12-18,Promotion,103.0,103.0,Role progression
EMP10209,2021-08-31,Joining,,,Initial employment
EMP10209,2025-12-19,Resignation,105.0,105.0,Voluntary exit
EMP10210,2020-09-23,Joining,,,Initial employment
EMP10210,2026-04-16,Transfer,108.0,107.0,Business transfer
EMP10211,2023-05-10,Joining,,,Initial employment
EMP10212,2021-11-16,Joining,,,Initial employment
EMP10213,2023-05-08,Joining,,,Initial employment
EMP10214,2025-06-26,Joining,,,Initial employment
EMP10214,2026-05-23,Transfer,105.0,107.0,Business transfer
EMP10215,2023-08-21,Joining,,,Initial employment
EMP10215,2024-05-08,Transfer,101.0,105.0,Business transfer
EMP10216,2020-03-12,Joining,,,Initial employment
EMP10216,2020-11-16,Resignation,106.0,106.0,Voluntary exit
EMP10216,2022-10-30,Transfer,106.0,104.0,Business transfer
EMP10216,2023-10-24,Manager Change,106.0,106.0,Reporting-line change
EMP10217,2023-04-06,Joining,,,Initial employment
EMP10218,2021-12-12,Joining,,,Initial employment
EMP10219,2022-07-28,Joining,,,Initial employment
EMP10219,2024-09-24,Promotion,103.0,103.0,Role progression
EMP10219,2024-08-16,Promotion,103.0,103.0,Role progression
EMP10220,2024-09-09,Joining,,,Initial employment
EMP10221,2025-07-12,Joining,,,Initial employment
EMP10221,2026-02-12,Manager Change,102.0,102.0,Reporting-line change
EMP10222,2019-07-02,Joining,,,Initial employment
EMP10222,2023-08-27,Termination,104.0,104.0,Involuntary exit
EMP10223,2026-02-04,Joining,,,Initial employment
EMP10224,2023-01-09,Joining,,,Initial employment
EMP10225,2023-01-19,Joining,,,Initial employment
EMP10226,2023-05-09,Joining,,,Initial employment
EMP10226,2024-09-01,Promotion,101.0,101.0,Role progression
EMP10227,2023-05-07,Joining,,,Initial employment
EMP10227,2024-01-15,Transfer,103.0,107.0,Business transfer
EMP10228,2020-10-21,Joining,,,Initial employment
EMP10229,2019-06-09,Joining,,,Initial employment
EMP10229,2021-10-21,Transfer,103.0,104.0,Business transfer
EMP10229,2023-12-28,Manager Change,103.0,103.0,Reporting-line change
EMP10229,2022-10-02,Resignation,103.0,103.0,Voluntary exit
EMP10229,2024-03-28,Transfer,103.0,102.0,Business transfer
EMP10230,2025-09-25,Joining,,,Initial employment
EMP10231,2021-10-08,Joining,,,Initial employment
EMP10231,2025-01-21,Rehire,104.0,104.0,Returned employee
EMP10231,2026-02-15,Promotion,104.0,104.0,Role progression
EMP10232,2019-02-22,Joining,,,Initial employment
EMP10232,2023-04-24,Leave of Absence,102.0,102.0,Temporary leave
EMP10233,2025-09-21,Joining,,,Initial employment
EMP10234,2021-11-11,Joining,,,Initial employment
EMP10234,2023-01-09,Leave of Absence,108.0,108.0,Temporary leave
EMP10234,2024-11-29,Termination,108.0,108.0,Involuntary exit
EMP10235,2021-11-19,Joining,,,Initial employment
EMP10235,2026-01-12,Manager Change,103.0,103.0,Reporting-line change
EMP10235,2022-10-06,Transfer,103.0,106.0,Business transfer
EMP10236,2025-04-26,Joining,,,Initial employment
EMP10237,2022-05-13,Joining,,,Initial employment
EMP10237,2023-08-02,Manager Change,106.0,106.0,Reporting-line change
EMP10237,2026-03-02,Transfer,106.0,101.0,Business transfer
EMP10238,2023-02-03,Joining,,,Initial employment
EMP10238,2025-04-02,Promotion,101.0,101.0,Role progression
EMP10238,2024-08-27,Leave of Absence,101.0,101.0,Temporary leave
EMP10239,2023-01-29,Joining,,,Initial employment
EMP10239,2023-11-02,Transfer,103.0,106.0,Business transfer
EMP10239,2026-05-31,Transfer,103.0,107.0,Business transfer
EMP10240,2021-11-01,Joining,,,Initial employment
EMP10240,2022-12-23,Termination,102.0,102.0,Involuntary exit
EMP10240,2025-01-01,Promotion,102.0,102.0,Role progression
EMP10241,2024-05-04,Joining,,,Initial employment
EMP10242,2021-04-29,Joining,,,Initial employment
EMP10242,2021-11-20,Promotion,101.0,101.0,Role progression
