Employee_ID,Review_Date,Performance_Rating,Performance_Category,Review_Type
EMP10013,2025-06-30,2.8,Needs Improvement,Annual
EMP10013,2025-12-31,2.8,Meets Expectations,Mid-Year
EMP10013,2026-06-30,3.3,Exceeds Expectations,Mid-Year
EMP10014,2024-06-30,3.1,Exceeds Expectations,Mid-Year
EMP10014,2024-12-31,3.0,Meets Expectations,Annual
EMP10014,2025-06-30,3.0,Exceeds Expectations,Annual
EMP10014,2025-12-31,3.9,Exceeds Expectations,Annual
EMP10014,2026-06-30,3.8,Needs Improvement,Annual
EMP10015,2025-12-31,2.9,Meets Expectations,Mid-Year
EMP10015,2026-06-30,3.7,Meets Expectations,Mid-Year
EMP10016,2024-06-30,2.9,Meets Expectations,Mid-Year
EMP10016,2024-12-31,3.9,Exceeds Expectations,Mid-Year
EMP10016,2025-06-30,3.2,Meets Expectations,Annual
EMP10016,2025-12-31,2.4,Needs Improvement,Annual
EMP10016,2026-06-30,3.9,Meets Expectations,Annual
EMP10017,2025-06-30,3.1,Meets Expectations,Mid-Year
EMP10017,2025-12-31,2.6,Meets Expectations,Mid-Year
EMP10017,2026-06-30,3.4,Exceeds Expectations,Annual
EMP10018,2021-12-31,2.9,Meets Expectations,Annual
EMP10018,2022-06-30,4.1,Meets Expectations,Mid-Year
EMP10018,2022-12-31,4.5,Outstanding,Mid-Year
EMP10018,2023-06-30,3.0,Meets Expectations,Annual
EMP10018,2023-12-31,2.7,Meets Expectations,Mid-Year
EMP10018,2024-06-30,3.6,Meets Expectations,Annual
EMP10018,2024-12-31,2.6,Meets Expectations,Mid-Year
EMP10018,2025-06-30,2.0,Meets Expectations,Annual
EMP10018,2025-12-31,3.3,Exceeds Expectations,Mid-Year
EMP10018,2026-06-30,2.9,Exceeds Expectations,Mid-Year
EMP10019,2020-06-30,2.7,Exceeds Expectations,Annual
EMP10019,2020-12-31,2.0,Meets Expectations,Annual
EMP10019,2021-06-30,3.9,Needs Improvement,Mid-Year
EMP10019,2021-12-31,2.8,Exceeds Expectations,Mid-Year
EMP10019,2022-06-30,3.1,Meets Expectations,Mid-Year
EMP10019,2022-12-31,3.5,Needs Improvement,Mid-Year
EMP10019,2023-06-30,3.5,Meets Expectations,Annual
EMP10019,2023-12-31,4.0,Meets Expectations,Annual
EMP10019,2024-06-30,5.0,Meets Expectations,Annual
EMP10019,2024-12-31,2.6,Meets Expectations,Annual
EMP10019,2025-06-30,3.7,Needs Improvement,Annual
EMP10019,2025-12-31,2.8,Outstanding,Annual
EMP10019,2026-06-30,3.6,Meets Expectations,Mid-Year
EMP10020,2020-12-31,3.5,Meets Expectations,Mid-Year
EMP10020,2021-06-30,2.7,Meets Expectations,Mid-Year
EMP10020,2021-12-31,2.9,Meets Expectations,Mid-Year
EMP10020,2022-06-30,2.9,Exceeds Expectations,Annual
EMP10020,2022-12-31,3.6,Meets Expectations,Annual
EMP10020,2023-06-30,2.6,Exceeds Expectations,Annual
EMP10020,2023-12-31,2.3,Meets Expectations,Mid-Year
EMP10020,2024-06-30,2.7,Meets Expectations,Annual
EMP10020,2024-12-31,3.3,Meets Expectations,Annual
EMP10020,2025-06-30,3.5,Meets Expectations,Annual
EMP10020,2025-12-31,4.1,Exceeds Expectations,Mid-Year
EMP10020,2026-06-30,3.1,Needs Improvement,Annual
EMP10021,2026-06-30,3.3,Meets Expectations,Annual
EMP10022,2025-06-30,3.0,Meets Expectations,Annual
EMP10022,2025-12-31,3.5,Meets Expectations,Annual
EMP10022,2026-06-30,3.7,Outstanding,Annual
EMP10023,2025-06-30,3.2,Exceeds Expectations,Mid-Year
EMP10023,2025-12-31,2.7,Exceeds Expectations,Annual
EMP10023,2026-06-30,3.5,Meets Expectations,Annual
EMP10024,2023-12-31,3.1,Outstanding,Annual
EMP10024,2024-06-30,2.4,Exceeds Expectations,Annual
EMP10024,2024-12-31,2.3,Meets Expectations,Annual
EMP10024,2025-06-30,2.9,Meets Expectations,Annual
EMP10024,2025-12-31,2.7,Exceeds Expectations,Mid-Year
EMP10024,2026-06-30,2.6,Meets Expectations,Annual
EMP10025,2025-06-30,3.2,Meets Expectations,Mid-Year
EMP10025,2025-12-31,3.9,Exceeds Expectations,Mid-Year
EMP10025,2026-06-30,3.5,Exceeds Expectations,Annual
EMP10026,2019-12-31,3.0,Outstanding,Annual
EMP10026,2020-06-30,3.2,Meets Expectations,Annual
EMP10026,2020-12-31,2.4,Exceeds Expectations,Annual
EMP10026,2021-06-30,2.9,Meets Expectations,Annual
EMP10026,2021-12-31,2.8,Outstanding,Annual
EMP10026,2022-06-30,2.8,Exceeds Expectations,Mid-Year
EMP10026,2022-12-31,3.6,Exceeds Expectations,Annual
EMP10026,2023-06-30,2.6,Meets Expectations,Annual
EMP10026,2023-12-31,3.6,Meets Expectations,Mid-Year
EMP10026,2024-06-30,3.6,Meets Expectations,Annual
EMP10026,2024-12-31,4.0,Exceeds Expectations,Mid-Year
EMP10026,2025-06-30,3.9,Meets Expectations,Mid-Year
EMP10026,2025-12-31,3.3,Exceeds Expectations,Mid-Year
EMP10026,2026-06-30,3.7,Meets Expectations,Annual
EMP10028,2024-06-30,3.6,Meets Expectations,Annual
EMP10028,2024-12-31,3.3,Exceeds Expectations,Mid-Year
EMP10028,2025-06-30,3.4,Meets Expectations,Mid-Year
EMP10028,2025-12-31,3.6,Meets Expectations,Mid-Year
EMP10028,2026-06-30,3.4,Meets Expectations,Annual
EMP10029,2021-12-31,2.4,Meets Expectations,Mid-Year
EMP10029,2022-06-30,3.4,Exceeds Expectations,Mid-Year
EMP10029,2022-12-31,3.2,Exceeds Expectations,Annual
EMP10029,2023-06-30,4.4,Meets Expectations,Mid-Year
EMP10029,2023-12-31,4.2,Meets Expectations,Mid-Year
EMP10029,2024-06-30,2.5,Exceeds Expectations,Annual
EMP10029,2024-12-31,3.2,Meets Expectations,Annual
EMP10029,2025-06-30,2.5,Exceeds Expectations,Mid-Year
EMP10029,2025-12-31,3.6,Meets Expectations,Annual
EMP10029,2026-06-30,2.7,Outstanding,Annual
EMP10030,2025-06-30,3.4,Outstanding,Mid-Year
EMP10030,2025-12-31,2.9,Needs Improvement,Mid-Year
EMP10030,2026-06-30,3.2,Outstanding,Mid-Year
EMP10031,2025-12-31,4.6,Meets Expectations,Annual
EMP10031,2026-06-30,4.6,Meets Expectations,Mid-Year
EMP10032,2026-06-30,3.6,Needs Improvement,Annual
EMP10033,2021-12-31,3.0,Meets Expectations,Mid-Year
EMP10033,2022-06-30,2.6,Meets Expectations,Mid-Year
EMP10033,2022-12-31,2.9,Exceeds Expectations,Mid-Year
EMP10033,2023-06-30,3.4,Meets Expectations,Mid-Year
EMP10033,2023-12-31,3.7,Meets Expectations,Annual
EMP10033,2024-06-30,3.1,Meets Expectations,Annual
EMP10033,2024-12-31,3.4,Exceeds Expectations,Mid-Year
EMP10033,2025-06-30,2.9,Outstanding,Mid-Year
EMP10033,2025-12-31,3.4,Meets Expectations,Mid-Year
EMP10033,2026-06-30,3.1,Exceeds Expectations,Annual
EMP10034,2019-12-31,2.5,Meets Expectations,Mid-Year
EMP10034,2020-06-30,2.3,Needs Improvement,Mid-Year
EMP10034,2020-12-31,3.3,Meets Expectations,Annual
EMP10034,2021-06-30,3.2,Meets Expectations,Annual
EMP10034,2021-12-31,2.6,Meets Expectations,Mid-Year
EMP10034,2022-06-30,2.8,Exceeds Expectations,Annual
EMP10034,2022-12-31,2.3,Meets Expectations,Mid-Year
EMP10034,2023-06-30,2.7,Outstanding,Mid-Year
EMP10034,2023-12-31,3.8,Meets Expectations,Annual
EMP10034,2024-06-30,2.4,Meets Expectations,Annual
EMP10034,2024-12-31,2.9,Meets Expectations,Mid-Year
EMP10034,2025-06-30,3.9,Meets Expectations,Mid-Year
EMP10034,2025-12-31,2.7,Meets Expectations,Mid-Year
EMP10034,2026-06-30,3.3,Meets Expectations,Annual
EMP10035,2019-12-31,4.0,Outstanding,Annual
EMP10035,2020-06-30,2.1,Meets Expectations,Mid-Year
EMP10035,2020-12-31,3.6,Needs Improvement,Annual
EMP10035,2021-06-30,3.2,Exceeds Expectations,Annual
EMP10035,2021-12-31,3.3,Meets Expectations,Annual
EMP10035,2022-06-30,2.7,Meets Expectations,Mid-Year
EMP10035,2022-12-31,3.3,Meets Expectations,Annual
EMP10035,2023-06-30,3.1,Exceeds Expectations,Mid-Year
EMP10035,2023-12-31,2.8,Meets Expectations,Annual
EMP10035,2024-06-30,2.7,Meets Expectations,Mid-Year
EMP10035,2024-12-31,2.5,Meets Expectations,Annual
EMP10035,2025-06-30,3.2,Meets Expectations,Annual
EMP10035,2025-12-31,3.7,Meets Expectations,Mid-Year
EMP10035,2026-06-30,2.7,Meets Expectations,Mid-Year
EMP10036,2026-06-30,4.5,Outstanding,Mid-Year
EMP10038,2023-12-31,2.3,Exceeds Expectations,Annual
EMP10038,2024-06-30,3.2,Meets Expectations,Annual
EMP10038,2024-12-31,3.1,Meets Expectations,Annual
EMP10038,2025-06-30,4.3,Meets Expectations,Annual
EMP10038,2025-12-31,2.7,Exceeds Expectations,Mid-Year
EMP10038,2026-06-30,3.2,Meets Expectations,Annual
EMP10039,2024-12-31,3.0,Needs Improvement,Mid-Year
EMP10039,2025-06-30,2.5,Meets Expectations,Annual
EMP10039,2025-12-31,2.5,Meets Expectations,Annual
EMP10039,2026-06-30,3.4,Meets Expectations,Mid-Year
EMP10040,2025-06-30,4.2,Meets Expectations,Annual
EMP10040,2025-12-31,3.9,Meets Expectations,Mid-Year
EMP10040,2026-06-30,2.8,Meets Expectations,Annual
EMP10041,2022-12-31,3.7,Meets Expectations,Annual
EMP10041,2023-06-30,3.7,Exceeds Expectations,Annual
EMP10041,2023-12-31,4.3,Needs Improvement,Annual
EMP10041,2024-06-30,2.8,Meets Expectations,Annual
EMP10041,2024-12-31,3.8,Needs Improvement,Mid-Year
EMP10041,2025-06-30,3.0,Meets Expectations,Annual
EMP10041,2025-12-31,3.6,Exceeds Expectations,Mid-Year
EMP10041,2026-06-30,3.2,Needs Improvement,Annual
EMP10042,2019-12-31,2.8,Exceeds Expectations,Mid-Year
EMP10042,2020-06-30,2.9,Meets Expectations,Annual
EMP10042,2020-12-31,3.0,Exceeds Expectations,Mid-Year
EMP10042,2021-06-30,3.1,Meets Expectations,Annual
EMP10042,2021-12-31,2.6,Meets Expectations,Mid-Year
EMP10042,2022-06-30,3.3,Outstanding,Mid-Year
EMP10042,2022-12-31,3.1,Needs Improvement,Mid-Year
EMP10042,2023-06-30,2.8,Meets Expectations,Annual
EMP10042,2023-12-31,3.3,Exceeds Expectations,Annual
EMP10042,2024-06-30,3.5,Needs Improvement,Mid-Year
EMP10042,2024-12-31,2.8,Outstanding,Mid-Year
EMP10042,2025-06-30,2.3,Meets Expectations,Annual
EMP10042,2025-12-31,2.9,Needs Improvement,Annual
EMP10042,2026-06-30,2.6,Meets Expectations,Mid-Year
EMP10043,2025-12-31,3.6,Outstanding,Annual
EMP10043,2026-06-30,3.5,Meets Expectations,Annual
EMP10044,2024-12-31,3.7,Exceeds Expectations,Mid-Year
EMP10044,2025-06-30,2.9,Meets Expectations,Annual
EMP10044,2025-12-31,3.7,Exceeds Expectations,Annual
EMP10044,2026-06-30,2.9,Meets Expectations,Mid-Year
EMP10046,2020-06-30,2.7,Exceeds Expectations,Annual
EMP10046,2020-12-31,3.1,Meets Expectations,Annual
EMP10046,2021-06-30,2.5,Exceeds Expectations,Annual
EMP10046,2021-12-31,2.5,Exceeds Expectations,Annual
EMP10046,2022-06-30,3.7,Meets Expectations,Annual
EMP10046,2022-12-31,2.3,Exceeds Expectations,Mid-Year
EMP10046,2023-06-30,4.0,Meets Expectations,Mid-Year
EMP10046,2023-12-31,3.4,Meets Expectations,Mid-Year
EMP10046,2024-06-30,2.0,Meets Expectations,Annual
EMP10046,2024-12-31,3.9,Meets Expectations,Mid-Year
EMP10046,2025-06-30,3.7,Needs Improvement,Annual
EMP10046,2025-12-31,3.1,Meets Expectations,Mid-Year
EMP10046,2026-06-30,3.5,Meets Expectations,Annual
EMP10047,2021-12-31,2.8,Meets Expectations,Annual
EMP10047,2022-06-30,3.1,Needs Improvement,Mid-Year
EMP10047,2022-12-31,3.3,Meets Expectations,Mid-Year
EMP10047,2023-06-30,3.0,Meets Expectations,Annual
EMP10047,2023-12-31,3.5,Exceeds Expectations,Mid-Year
EMP10047,2024-06-30,2.8,Meets Expectations,Mid-Year
EMP10047,2024-12-31,3.3,Meets Expectations,Mid-Year
EMP10047,2025-06-30,3.0,Outstanding,Annual
EMP10047,2025-12-31,3.3,Meets Expectations,Mid-Year
EMP10047,2026-06-30,3.6,Meets Expectations,Annual
EMP10048,2023-06-30,2.3,Meets Expectations,Mid-Year
EMP10048,2023-12-31,3.1,Needs Improvement,Mid-Year
EMP10048,2024-06-30,2.9,Needs Improvement,Mid-Year
EMP10048,2024-12-31,3.8,Outstanding,Mid-Year
EMP10048,2025-06-30,3.8,Meets Expectations,Mid-Year
EMP10048,2025-12-31,3.1,Exceeds Expectations,Annual
EMP10048,2026-06-30,4.1,Exceeds Expectations,Mid-Year
EMP10049,2025-12-31,2.8,Meets Expectations,Mid-Year
EMP10049,2026-06-30,3.3,Meets Expectations,Mid-Year
EMP10050,2022-06-30,2.6,Meets Expectations,Mid-Year
EMP10050,2022-12-31,2.3,Meets Expectations,Annual
EMP10050,2023-06-30,3.7,Exceeds Expectations,Annual
EMP10050,2023-12-31,3.1,Meets Expectations,Mid-Year
EMP10050,2024-06-30,3.8,Meets Expectations,Mid-Year
EMP10050,2024-12-31,3.0,Meets Expectations,Mid-Year
EMP10050,2025-06-30,3.4,Outstanding,Annual
EMP10050,2025-12-31,3.1,Meets Expectations,Annual
EMP10050,2026-06-30,2.9,Meets Expectations,Mid-Year
EMP10051,2023-12-31,3.6,Exceeds Expectations,Annual
EMP10051,2024-06-30,2.9,Meets Expectations,Annual
EMP10051,2024-12-31,3.6,Meets Expectations,Mid-Year
EMP10051,2025-06-30,3.0,Meets Expectations,Annual
EMP10051,2025-12-31,3.8,Meets Expectations,Mid-Year
EMP10051,2026-06-30,3.1,Needs Improvement,Mid-Year
EMP10052,2023-06-30,3.5,Meets Expectations,Mid-Year
EMP10052,2023-12-31,2.7,Meets Expectations,Annual
EMP10052,2024-06-30,3.0,Meets Expectations,Mid-Year
EMP10052,2024-12-31,4.7,Needs Improvement,Annual
EMP10052,2025-06-30,3.7,Meets Expectations,Mid-Year
EMP10052,2025-12-31,1.5,Meets Expectations,Annual
EMP10052,2026-06-30,4.2,Meets Expectations,Mid-Year
EMP10053,2023-06-30,3.5,Exceeds Expectations,Annual
EMP10053,2023-12-31,2.7,Exceeds Expectations,Mid-Year
EMP10053,2024-06-30,2.1,Meets Expectations,Mid-Year
EMP10053,2024-12-31,2.4,Outstanding,Annual
EMP10053,2025-06-30,3.1,Meets Expectations,Mid-Year
EMP10053,2025-12-31,2.7,Meets Expectations,Annual
EMP10053,2026-06-30,2.9,Exceeds Expectations,Annual
EMP10054,2021-06-30,3.2,Meets Expectations,Mid-Year
EMP10054,2021-12-31,2.0,Meets Expectations,Annual
EMP10054,2022-06-30,2.5,Meets Expectations,Annual
EMP10054,2022-12-31,3.2,Exceeds Expectations,Mid-Year
EMP10054,2023-06-30,2.5,Outstanding,Annual
EMP10054,2023-12-31,3.3,Exceeds Expectations,Annual
EMP10054,2024-06-30,3.3,Meets Expectations,Mid-Year
EMP10054,2024-12-31,3.2,Meets Expectations,Annual
EMP10054,2025-06-30,4.2,Meets Expectations,Mid-Year
EMP10054,2025-12-31,3.2,Exceeds Expectations,Annual
EMP10054,2026-06-30,4.4,Meets Expectations,Annual
EMP10055,2020-06-30,3.0,Meets Expectations,Mid-Year
EMP10055,2020-12-31,3.2,Meets Expectations,Mid-Year
EMP10055,2021-06-30,3.3,Needs Improvement,Annual
EMP10055,2021-12-31,2.5,Meets Expectations,Mid-Year
EMP10055,2022-06-30,2.5,Meets Expectations,Mid-Year
EMP10055,2022-12-31,3.4,Meets Expectations,Annual
EMP10055,2023-06-30,2.3,Meets Expectations,Annual
EMP10055,2023-12-31,3.8,Needs Improvement,Annual
EMP10055,2024-06-30,3.9,Needs Improvement,Mid-Year
EMP10055,2024-12-31,3.4,Meets Expectations,Annual
EMP10055,2025-06-30,3.5,Meets Expectations,Mid-Year
EMP10055,2025-12-31,3.8,Meets Expectations,Annual
EMP10055,2026-06-30,3.3,Meets Expectations,Annual
EMP10056,2020-06-30,2.9,Meets Expectations,Mid-Year
EMP10056,2020-12-31,3.0,Meets Expectations,Annual
EMP10056,2021-06-30,2.0,Meets Expectations,Annual
EMP10056,2021-12-31,2.9,Outstanding,Annual
EMP10056,2022-06-30,3.7,Outstanding,Annual
EMP10056,2022-12-31,3.4,Meets Expectations,Annual
EMP10056,2023-06-30,2.8,Needs Improvement,Annual
EMP10056,2023-12-31,3.3,Meets Expectations,Annual
EMP10056,2024-06-30,3.4,Meets Expectations,Annual
EMP10056,2024-12-31,3.4,Exceeds Expectations,Mid-Year
EMP10056,2025-06-30,3.8,Exceeds Expectations,Mid-Year
EMP10056,2025-12-31,4.2,Meets Expectations,Mid-Year
EMP10056,2026-06-30,2.3,Meets Expectations,Annual
EMP10057,2022-06-30,3.6,Meets Expectations,Mid-Year
EMP10057,2022-12-31,2.9,Exceeds Expectations,Mid-Year
EMP10057,2023-06-30,3.1,Meets Expectations,Annual
EMP10057,2023-12-31,3.0,Meets Expectations,Mid-Year
EMP10057,2024-06-30,2.5,Exceeds Expectations,Mid-Year
EMP10057,2024-12-31,2.7,Exceeds Expectations,Mid-Year
EMP10057,2025-06-30,3.4,Meets Expectations,Annual
EMP10057,2025-12-31,3.6,Meets Expectations,Mid-Year
EMP10057,2026-06-30,4.3,Meets Expectations,Annual
EMP10058,2023-12-31,3.1,Meets Expectations,Mid-Year
EMP10058,2024-06-30,2.4,Meets Expectations,Annual
EMP10058,2024-12-31,2.9,Meets Expectations,Annual
EMP10058,2025-06-30,2.9,Meets Expectations,Annual
EMP10058,2025-12-31,3.8,Meets Expectations,Mid-Year
EMP10058,2026-06-30,3.4,Needs Improvement,Mid-Year
EMP10059,2020-06-30,3.5,Meets Expectations,Annual
EMP10059,2020-12-31,3.1,Meets Expectations,Mid-Year
EMP10059,2021-06-30,2.9,Meets Expectations,Annual
EMP10059,2021-12-31,2.5,Needs Improvement,Mid-Year
EMP10059,2022-06-30,2.2,Meets Expectations,Annual
EMP10059,2022-12-31,3.4,Meets Expectations,Annual
EMP10059,2023-06-30,2.1,Meets Expectations,Annual
EMP10059,2023-12-31,3.4,Meets Expectations,Annual
EMP10059,2024-06-30,3.2,Exceeds Expectations,Annual
EMP10059,2024-12-31,3.3,Needs Improvement,Mid-Year
EMP10059,2025-06-30,2.7,Meets Expectations,Mid-Year
EMP10059,2025-12-31,3.4,Meets Expectations,Mid-Year
EMP10059,2026-06-30,2.5,Needs Improvement,Mid-Year
EMP10060,2019-12-31,2.7,Exceeds Expectations,Annual
EMP10060,2020-06-30,4.5,Meets Expectations,Annual
EMP10060,2020-12-31,3.5,Needs Improvement,Annual
EMP10060,2021-06-30,4.2,Exceeds Expectations,Annual
EMP10060,2021-12-31,2.9,Meets Expectations,Mid-Year
EMP10060,2022-06-30,2.7,Meets Expectations,Mid-Year
EMP10060,2022-12-31,2.6,Exceeds Expectations,Mid-Year
EMP10060,2023-06-30,3.8,Exceeds Expectations,Annual
EMP10060,2023-12-31,3.6,Exceeds Expectations,Annual
EMP10060,2024-06-30,3.2,Meets Expectations,Annual
EMP10060,2024-12-31,3.3,Exceeds Expectations,Annual
EMP10060,2025-06-30,3.1,Exceeds Expectations,Annual
EMP10060,2025-12-31,3.4,Outstanding,Mid-Year
EMP10060,2026-06-30,3.6,Exceeds Expectations,Mid-Year
EMP10061,2020-06-30,3.9,Exceeds Expectations,Annual
EMP10061,2020-12-31,4.1,Exceeds Expectations,Annual
EMP10061,2021-06-30,4.3,Needs Improvement,Mid-Year
EMP10061,2021-12-31,3.3,Outstanding,Annual
EMP10061,2022-06-30,3.6,Meets Expectations,Annual
EMP10061,2022-12-31,2.9,Exceeds Expectations,Annual
EMP10061,2023-06-30,3.7,Meets Expectations,Annual
EMP10061,2023-12-31,4.0,Meets Expectations,Annual
EMP10061,2024-06-30,3.7,Outstanding,Annual
EMP10061,2024-12-31,3.5,Meets Expectations,Annual
EMP10061,2025-06-30,3.3,Meets Expectations,Annual
EMP10061,2025-12-31,4.4,Meets Expectations,Annual
EMP10061,2026-06-30,3.5,Meets Expectations,Mid-Year
EMP10062,2021-12-31,3.2,Exceeds Expectations,Annual
EMP10062,2022-06-30,3.2,Exceeds Expectations,Annual
EMP10062,2022-12-31,3.3,Meets Expectations,Mid-Year
EMP10062,2023-06-30,3.2,Exceeds Expectations,Mid-Year
EMP10062,2023-12-31,2.8,Meets Expectations,Annual
EMP10062,2024-06-30,2.6,Meets Expectations,Mid-Year
EMP10062,2024-12-31,4.0,Exceeds Expectations,Mid-Year
EMP10062,2025-06-30,3.6,Meets Expectations,Mid-Year
EMP10062,2025-12-31,4.0,Exceeds Expectations,Annual
EMP10062,2026-06-30,2.5,Meets Expectations,Annual
EMP10063,2023-12-31,3.2,Meets Expectations,Annual
EMP10063,2024-06-30,2.8,Meets Expectations,Annual
EMP10063,2024-12-31,3.2,Meets Expectations,Mid-Year
EMP10063,2025-06-30,4.3,Meets Expectations,Annual
EMP10063,2025-12-31,2.3,Needs Improvement,Annual
EMP10063,2026-06-30,3.1,Exceeds Expectations,Annual
