Employee_ID,Month,Working_Days,Absent_Days,Overtime_Hours,Days_Present
EMP10002,2025-08-01,22,0.0,4.1,22
EMP10002,2025-09-01,19,2.0,12.4,17
EMP10002,2025-12-01,22,0.0,8.3,22
EMP10002,2026-01-01,20,1.0,10.9,19
EMP10002,2026-02-01,19,1.0,8.8,18
EMP10002,2026-03-01,20,1.0,9.3,19
EMP10002,2026-04-01,22,2.0,8.4,20
EMP10002,2026-05-01,21,2.0,9.9,19
EMP10002,2026-06-01,20,0.0,9.7,20
EMP10003,2024-04-01,18,0.0,13.1,18
EMP10003,2024-05-01,21,1.0,7.2,20
EMP10003,2024-06-01,22,2.0,7.0,20
EMP10003,2024-07-01,18,3.0,13.6,15
EMP10003,2024-08-01,18,0.0,6.2,18
EMP10003,2024-09-01,22,0.0,5.3,22
EMP10003,2024-10-01,20,2.0,14.4,18
EMP10003,2024-12-01,18,0.0,8.8,18
EMP10003,2025-01-01,22,1.0,3.9,21
EMP10003,2025-02-01,19,1.0,2.8,18
EMP10003,2025-03-01,20,0.0,6.8,20
EMP10003,2025-04-01,18,0.0,6.3,18
EMP10003,2025-05-01,18,2.0,11.3,16
EMP10003,2025-06-01,20,0.0,10.8,20
EMP10003,2025-07-01,20,2.0,10.1,18
EMP10003,2025-08-01,20,0.0,12.4,20
EMP10003,2025-09-01,20,1.0,0.0,19
EMP10003,2025-10-01,21,1.0,7.2,20
EMP10003,2025-11-01,19,0.0,5.7,19
EMP10003,2025-12-01,20,0.0,6.0,20
EMP10003,2026-01-01,18,0.0,15.3,18
EMP10003,2026-02-01,20,3.0,12.8,17
EMP10003,2026-03-01,19,2.0,8.0,17
EMP10003,2026-04-01,20,0.0,4.5,20
EMP10003,2026-05-01,20,2.0,5.9,18
EMP10004,2022-12-01,21,2.0,0.9,19
EMP10004,2023-01-01,19,0.0,1.2,19
EMP10004,2023-02-01,20,2.0,0.0,18
EMP10004,2023-03-01,18,1.0,0.0,17
EMP10004,2023-04-01,22,4.0,11.0,18
EMP10004,2023-06-01,20,1.0,1.2,19
EMP10004,2023-07-01,19,0.0,8.7,19
EMP10004,2023-08-01,21,1.0,8.9,20
EMP10004,2023-09-01,20,1.0,11.0,19
EMP10004,2023-10-01,21,3.0,3.4,18
EMP10004,2023-11-01,18,1.0,0.0,17
EMP10004,2024-01-01,20,1.0,3.2,19
EMP10004,2024-02-01,18,3.0,0.0,15
EMP10004,2024-03-01,22,0.0,5.8,22
EMP10004,2024-04-01,22,2.0,5.8,20
EMP10004,2024-05-01,20,2.0,6.1,18
EMP10004,2024-06-01,22,3.0,5.9,19
EMP10004,2024-07-01,20,2.0,0.8,18
EMP10004,2024-08-01,19,0.0,7.4,19
EMP10004,2024-09-01,22,0.0,6.3,22
EMP10004,2024-10-01,21,5.0,2.5,16
EMP10004,2024-12-01,21,1.0,0.0,20
EMP10004,2025-01-01,19,3.0,8.3,16
EMP10004,2025-03-01,19,0.0,0.0,19
EMP10004,2025-04-01,21,2.0,3.8,19
EMP10004,2025-05-01,21,2.0,0.3,19
EMP10004,2025-06-01,20,4.0,8.7,16
EMP10004,2025-07-01,19,0.0,7.8,19
EMP10004,2025-08-01,22,1.0,7.8,21
EMP10004,2025-09-01,21,1.0,2.0,20
EMP10004,2025-10-01,21,1.0,3.0,20
EMP10004,2025-11-01,20,3.0,14.8,17
EMP10004,2025-12-01,19,0.0,0.0,19
EMP10004,2026-01-01,21,4.0,0.0,17
EMP10004,2026-02-01,18,1.0,4.8,17
EMP10004,2026-03-01,22,1.0,1.9,21
EMP10004,2026-04-01,20,1.0,6.3,19
EMP10004,2026-06-01,18,3.0,8.2,15
EMP10005,2022-10-01,21,1.0,3.3,20
EMP10005,2022-11-01,18,0.0,6.1,18
EMP10005,2022-12-01,21,4.0,1.5,17
EMP10005,2023-01-01,19,0.0,8.2,19
EMP10005,2023-02-01,19,1.0,0.0,18
EMP10005,2023-03-01,20,1.0,10.4,19
EMP10005,2023-04-01,22,1.0,7.9,21
EMP10005,2023-05-01,21,2.0,0.0,19
EMP10005,2023-06-01,20,0.0,1.7,20
EMP10005,2023-08-01,22,2.0,6.9,20
EMP10005,2023-09-01,20,3.0,10.1,17
EMP10005,2023-10-01,22,0.0,6.2,22
EMP10005,2023-11-01,19,3.0,0.0,16
EMP10005,2023-12-01,21,1.0,6.7,20
EMP10005,2024-01-01,19,0.0,4.0,19
EMP10005,2024-02-01,19,2.0,1.6,17
EMP10005,2024-03-01,20,1.0,6.8,19
EMP10005,2024-04-01,18,3.0,0.0,15
EMP10005,2024-05-01,22,1.0,7.7,21
EMP10005,2024-06-01,18,0.0,7.7,18
EMP10005,2024-07-01,21,0.0,3.2,21
EMP10005,2024-09-01,18,1.0,16.2,17
EMP10005,2024-10-01,19,1.0,6.3,18
EMP10005,2024-11-01,19,3.0,8.0,16
EMP10005,2024-12-01,18,0.0,9.6,18
EMP10005,2025-02-01,22,1.0,6.0,21
EMP10005,2025-03-01,22,4.0,0.0,18
EMP10005,2025-04-01,18,2.0,8.0,16
EMP10005,2025-05-01,22,0.0,4.0,22
EMP10005,2025-06-01,19,1.0,9.5,18
EMP10005,2025-07-01,22,1.0,3.2,21
EMP10005,2025-09-01,21,3.0,4.3,18
EMP10005,2025-10-01,20,2.0,2.5,18
EMP10005,2025-11-01,20,0.0,5.5,20
EMP10005,2025-12-01,21,0.0,8.1,21
EMP10005,2026-01-01,18,1.0,6.0,17
EMP10005,2026-02-01,22,1.0,5.9,21
EMP10005,2026-03-01,21,2.0,7.5,19
EMP10005,2026-04-01,19,2.0,0.0,17
EMP10005,2026-05-01,21,1.0,13.3,20
EMP10006,2020-03-01,21,0.0,8.9,21
EMP10006,2020-04-01,20,2.0,0.0,18
EMP10006,2020-05-01,18,1.0,0.0,17
EMP10006,2020-06-01,19,3.0,6.0,16
EMP10006,2020-07-01,21,2.0,7.8,19
EMP10006,2020-08-01,18,3.0,7.5,15
EMP10006,2020-09-01,19,1.0,4.7,18
EMP10006,2020-11-01,22,0.0,6.7,22
EMP10006,2020-12-01,19,2.0,1.8,17
EMP10006,2021-01-01,20,3.0,2.8,17
EMP10006,2021-02-01,22,0.0,9.4,22
EMP10006,2021-03-01,22,2.0,0.0,20
EMP10006,2021-05-01,18,2.0,5.4,16
EMP10006,2021-06-01,18,1.0,8.1,17
EMP10006,2021-07-01,22,4.0,6.1,18
EMP10006,2021-08-01,18,0.0,5.8,18
EMP10006,2021-09-01,22,1.0,2.2,21
EMP10006,2021-10-01,20,1.0,0.0,19
EMP10006,2021-11-01,21,4.0,0.0,17
EMP10006,2021-12-01,18,1.0,13.6,17
EMP10006,2022-02-01,20,1.0,6.0,19
EMP10006,2022-03-01,20,1.0,0.5,19
EMP10006,2022-04-01,21,3.0,3.0,18
EMP10006,2022-05-01,18,2.0,1.2,16
EMP10006,2022-06-01,22,2.0,0.0,20
EMP10006,2022-07-01,20,0.0,9.9,20
EMP10006,2022-09-01,20,3.0,2.0,17
EMP10006,2022-10-01,21,2.0,10.1,19
EMP10006,2022-11-01,18,0.0,0.0,18
EMP10006,2022-12-01,21,1.0,6.7,20
EMP10006,2023-01-01,20,1.0,9.7,19
EMP10006,2023-02-01,22,0.0,9.5,22
EMP10006,2023-03-01,22,1.0,4.5,21
EMP10006,2023-04-01,20,1.0,10.2,19
EMP10006,2023-05-01,21,2.0,6.7,19
EMP10006,2023-06-01,21,1.0,0.0,20
EMP10006,2023-07-01,22,0.0,0.5,22
EMP10006,2023-08-01,18,1.0,7.2,17
EMP10006,2023-09-01,19,1.0,1.5,18
EMP10006,2023-10-01,20,1.0,13.1,19
EMP10006,2023-11-01,22,1.0,0.5,21
EMP10006,2023-12-01,21,0.0,6.7,21
EMP10006,2024-01-01,20,3.0,10.7,17
EMP10006,2024-02-01,22,3.0,6.2,19
EMP10006,2024-04-01,20,2.0,0.0,18
EMP10006,2024-05-01,20,1.0,7.1,19
EMP10006,2024-07-01,19,3.0,2.9,16
EMP10006,2024-08-01,22,1.0,4.3,21
EMP10006,2024-09-01,20,2.0,0.0,18
EMP10006,2024-10-01,18,3.0,2.4,15
EMP10006,2024-12-01,20,2.0,6.7,18
EMP10006,2025-02-01,22,3.0,6.0,19
EMP10006,2025-03-01,18,1.0,9.5,17
EMP10006,2025-04-01,19,0.0,3.9,19
EMP10006,2025-06-01,19,3.0,0.0,16
EMP10006,2025-07-01,20,1.0,17.4,19
EMP10006,2025-08-01,20,0.0,7.0,20
EMP10006,2025-09-01,20,1.0,12.8,19
EMP10006,2025-10-01,20,1.0,1.0,19
EMP10006,2025-12-01,20,1.0,3.8,19
EMP10006,2026-01-01,19,2.0,4.6,17
EMP10006,2026-02-01,21,2.0,7.1,19
EMP10006,2026-03-01,18,0.0,3.4,18
EMP10006,2026-04-01,18,1.0,9.9,17
EMP10006,2026-05-01,18,2.0,5.7,16
EMP10006,2026-06-01,19,1.0,2.6,18
EMP10007,2024-10-01,18,3.0,6.9,15
EMP10007,2024-11-01,21,0.0,9.7,21
EMP10007,2024-12-01,18,2.0,6.0,16
EMP10007,2025-01-01,22,2.0,5.0,20
EMP10007,2025-02-01,18,1.0,4.9,17
EMP10007,2025-03-01,18,1.0,6.0,17
EMP10007,2025-04-01,22,2.0,1.4,20
EMP10007,2025-05-01,21,1.0,1.7,20
EMP10007,2025-06-01,21,2.0,9.4,19
EMP10007,2025-07-01,22,2.0,0.0,20
EMP10007,2025-08-01,18,4.0,7.4,14
EMP10007,2025-09-01,22,2.0,2.8,20
EMP10007,2025-10-01,21,1.0,7.1,20
EMP10007,2025-11-01,19,1.0,4.7,18
EMP10007,2025-12-01,21,2.0,4.8,19
EMP10007,2026-01-01,20,3.0,0.4,17
EMP10007,2026-02-01,19,0.0,2.9,19
EMP10007,2026-03-01,19,0.0,4.5,19
EMP10007,2026-04-01,22,0.0,3.4,22
EMP10007,2026-05-01,18,0.0,5.8,18
EMP10007,2026-06-01,19,0.0,3.9,19
EMP10008,2020-07-01,20,0.0,0.5,20
EMP10008,2020-08-01,20,2.0,6.3,18
EMP10008,2020-09-01,21,2.0,0.0,19
EMP10008,2020-10-01,19,2.0,12.1,17
EMP10008,2020-12-01,21,3.0,2.6,18
EMP10008,2021-01-01,22,2.0,0.0,20
EMP10008,2021-02-01,20,3.0,10.1,17
EMP10008,2021-03-01,19,1.0,6.5,18
EMP10008,2021-04-01,19,0.0,11.1,19
EMP10008,2021-05-01,19,1.0,9.6,18
EMP10008,2021-06-01,19,0.0,9.9,19
EMP10008,2021-07-01,22,4.0,3.0,18
EMP10008,2021-08-01,22,2.0,6.5,20
EMP10008,2021-09-01,22,1.0,1.5,21
EMP10008,2021-10-01,20,1.0,1.2,19
EMP10008,2021-11-01,22,1.0,1.3,21
EMP10008,2021-12-01,21,0.0,5.1,21
EMP10008,2022-01-01,21,3.0,4.6,18
EMP10008,2022-02-01,19,3.0,0.0,16
EMP10008,2022-03-01,20,1.0,4.3,19
EMP10008,2022-04-01,18,0.0,5.0,18
EMP10008,2022-05-01,20,3.0,6.3,17
EMP10008,2022-06-01,21,0.0,7.0,21
EMP10008,2022-07-01,19,0.0,10.8,19
EMP10008,2022-08-01,20,3.0,1.5,17
EMP10008,2022-09-01,21,0.0,7.0,21
EMP10008,2022-10-01,21,0.0,6.0,21
EMP10008,2022-11-01,20,4.0,17.8,16
EMP10008,2022-12-01,21,0.0,10.4,21
EMP10008,2023-02-01,19,0.0,8.2,19
EMP10008,2023-03-01,18,2.0,1.3,16
EMP10008,2023-04-01,22,1.0,0.0,21
EMP10008,2023-05-01,20,2.0,0.0,18
EMP10008,2023-06-01,18,1.0,4.9,17
EMP10008,2023-08-01,21,1.0,2.5,20
EMP10008,2023-09-01,20,0.0,2.3,20
EMP10008,2023-10-01,19,1.0,8.8,18
EMP10008,2023-11-01,19,2.0,11.8,17
EMP10008,2023-12-01,21,2.0,0.0,19
EMP10008,2024-01-01,19,3.0,0.6,16
EMP10008,2024-03-01,21,3.0,7.3,18
EMP10008,2024-05-01,19,0.0,0.0,19
EMP10008,2024-06-01,18,2.0,8.8,16
EMP10008,2024-07-01,22,0.0,4.7,22
EMP10008,2024-08-01,20,5.0,1.5,15
EMP10008,2024-09-01,21,1.0,2.3,20
EMP10008,2024-10-01,20,3.0,5.7,17
EMP10008,2024-11-01,21,1.0,8.2,20
EMP10008,2024-12-01,22,0.0,2.7,22
EMP10008,2025-01-01,19,2.0,0.0,17
EMP10008,2025-02-01,19,4.0,8.7,15
EMP10008,2025-03-01,19,0.0,1.9,19
EMP10008,2025-04-01,22,2.0,2.0,20
EMP10008,2025-06-01,20,0.0,3.4,20
EMP10008,2025-08-01,20,2.0,3.2,18
EMP10008,2025-09-01,21,2.0,12.4,19
EMP10008,2025-10-01,19,2.0,4.6,17
EMP10008,2025-11-01,22,0.0,6.3,22
EMP10008,2025-12-01,20,1.0,3.9,19
EMP10008,2026-01-01,19,3.0,7.4,16
EMP10008,2026-02-01,22,2.0,6.0,20
EMP10008,2026-03-01,20,2.0,10.2,18
EMP10008,2026-04-01,20,1.0,12.7,19
EMP10008,2026-05-01,20,4.0,6.3,16
EMP10009,2022-03-01,20,0.0,4.0,20
EMP10009,2022-05-01,18,2.0,9.4,16
EMP10009,2022-06-01,22,2.0,8.5,20
EMP10009,2022-08-01,21,3.0,3.1,18
EMP10009,2022-09-01,22,0.0,10.7,22
EMP10009,2022-10-01,18,1.0,15.4,17
EMP10009,2022-12-01,22,1.0,13.0,21
EMP10009,2023-01-01,22,2.0,14.0,20
EMP10009,2023-02-01,20,0.0,8.9,20
EMP10009,2023-03-01,19,3.0,6.6,16
EMP10009,2023-04-01,18,2.0,5.7,16
EMP10009,2023-05-01,19,1.0,4.2,18
EMP10009,2023-06-01,20,1.0,2.8,19
EMP10009,2023-07-01,18,1.0,4.9,17
EMP10009,2023-08-01,20,0.0,20.3,20
EMP10009,2023-09-01,18,2.0,9.1,16
EMP10009,2023-10-01,19,0.0,12.9,19
EMP10009,2023-11-01,18,2.0,5.4,16
EMP10009,2023-12-01,22,0.0,12.6,22
EMP10009,2024-01-01,20,0.0,13.1,20
EMP10009,2024-02-01,18,0.0,7.1,18
EMP10009,2024-03-01,21,1.0,12.9,20
EMP10009,2024-04-01,18,0.0,16.6,18
EMP10009,2024-05-01,20,4.0,4.2,16
EMP10009,2024-06-01,19,1.0,1.5,18
EMP10009,2024-07-01,19,0.0,10.2,19
EMP10009,2024-08-01,21,0.0,11.3,21
EMP10009,2024-09-01,22,0.0,2.5,22
EMP10009,2024-10-01,22,1.0,3.9,21
EMP10009,2024-11-01,22,2.0,4.6,20
EMP10009,2024-12-01,20,0.0,6.9,20
EMP10009,2025-01-01,18,0.0,9.5,18
EMP10009,2025-02-01,19,1.0,6.7,18
EMP10009,2025-03-01,22,1.0,11.1,21
EMP10009,2025-04-01,21,4.0,4.6,17
EMP10009,2025-06-01,19,0.0,12.5,19
EMP10009,2025-08-01,20,0.0,10.3,20
EMP10009,2025-09-01,18,0.0,5.5,18
EMP10009,2025-10-01,21,3.0,5.5,18
EMP10009,2025-11-01,18,0.0,5.5,18
EMP10009,2025-12-01,22,0.0,8.0,22
EMP10009,2026-01-01,18,0.0,10.7,18
EMP10009,2026-02-01,19,1.0,8.0,18
EMP10009,2026-03-01,18,2.0,8.0,16
EMP10009,2026-04-01,19,2.0,7.1,17
EMP10009,2026-05-01,19,1.0,0.0,18
EMP10010,2024-07-01,18,3.0,11.9,15
EMP10010,2024-08-01,21,1.0,10.2,20
EMP10010,2024-09-01,19,1.0,8.3,18
EMP10010,2024-10-01,22,4.0,8.5,18
EMP10010,2024-11-01,18,1.0,7.0,17
EMP10010,2024-12-01,20,0.0,0.4,20
EMP10010,2025-01-01,22,2.0,5.9,20
EMP10010,2025-04-01,20,1.0,12.5,19
EMP10010,2025-05-01,18,0.0,6.6,18
EMP10010,2025-06-01,18,0.0,9.4,18
EMP10010,2025-07-01,21,4.0,14.1,17
EMP10010,2025-08-01,18,0.0,9.5,18
EMP10010,2025-09-01,22,3.0,13.1,19
EMP10010,2025-10-01,22,1.0,8.3,21
EMP10010,2025-11-01,21,2.0,7.8,19
EMP10010,2025-12-01,22,2.0,3.6,20
EMP10010,2026-01-01,19,5.0,7.2,14
EMP10010,2026-02-01,20,3.0,4.0,17
EMP10010,2026-04-01,20,0.0,13.4,20
EMP10010,2026-05-01,20,1.0,2.3,19
EMP10010,2026-06-01,19,1.0,9.5,18
EMP10011,2019-12-01,19,2.0,7.2,17
EMP10011,2020-01-01,20,2.0,5.0,18
EMP10011,2020-04-01,22,0.0,3.5,22
EMP10011,2020-05-01,19,3.0,14.4,16
EMP10011,2020-06-01,19,2.0,9.3,17
EMP10011,2020-08-01,21,0.0,12.3,21
EMP10011,2020-09-01,20,2.0,8.8,18
EMP10011,2020-10-01,22,1.0,7.2,21
EMP10011,2020-11-01,22,1.0,6.0,21
EMP10011,2020-12-01,19,1.0,1.4,18
EMP10011,2021-01-01,19,2.0,5.3,17
EMP10011,2021-02-01,19,3.0,6.8,16
EMP10011,2021-03-01,20,4.0,4.8,16
EMP10011,2021-04-01,20,2.0,0.9,18
EMP10011,2021-05-01,19,1.0,1.8,18
EMP10011,2021-06-01,22,4.0,2.8,18
EMP10011,2021-07-01,21,2.0,0.0,19
EMP10011,2021-08-01,20,1.0,1.1,19
EMP10011,2021-09-01,21,2.0,11.2,19
EMP10011,2021-10-01,20,1.0,3.6,19
EMP10011,2021-11-01,21,1.0,3.2,20
EMP10011,2021-12-01,21,1.0,6.1,20
EMP10011,2022-01-01,20,0.0,12.5,20
EMP10011,2022-02-01,21,0.0,6.7,21
EMP10011,2022-03-01,20,2.0,10.3,18
EMP10011,2022-05-01,19,0.0,5.4,19
EMP10011,2022-07-01,21,2.0,9.7,19
EMP10011,2022-09-01,19,2.0,0.6,17
EMP10011,2022-10-01,20,0.0,5.5,20
EMP10011,2022-11-01,19,1.0,7.6,18
EMP10011,2022-12-01,20,1.0,5.1,19
EMP10011,2023-01-01,18,1.0,8.0,17
EMP10011,2023-02-01,20,4.0,9.2,16
EMP10011,2023-03-01,22,0.0,4.2,22
EMP10011,2023-04-01,18,1.0,6.1,17
EMP10011,2023-05-01,18,2.0,6.4,16
EMP10011,2023-06-01,18,3.0,4.6,15
EMP10011,2023-08-01,21,2.0,1.8,19
EMP10011,2023-09-01,22,0.0,6.5,22
EMP10011,2023-10-01,20,2.0,13.5,18
EMP10011,2023-11-01,18,0.0,3.4,18
EMP10011,2023-12-01,22,1.0,0.0,21
EMP10011,2024-01-01,22,0.0,1.2,22
EMP10011,2024-03-01,21,2.0,6.3,19
EMP10011,2024-05-01,21,4.0,2.9,17
EMP10011,2024-06-01,18,2.0,5.6,16
EMP10011,2024-07-01,19,4.0,3.5,15
EMP10011,2024-08-01,18,2.0,7.5,16
EMP10011,2024-09-01,19,0.0,3.8,19
EMP10011,2024-10-01,19,3.0,5.3,16
EMP10011,2024-12-01,20,2.0,3.3,18
EMP10011,2025-02-01,22,2.0,4.1,20
EMP10011,2025-03-01,21,3.0,5.6,18
EMP10011,2025-04-01,21,1.0,0.0,20
EMP10011,2025-05-01,19,1.0,7.1,18
EMP10011,2025-07-01,22,0.0,0.0,22
EMP10011,2025-08-01,21,2.0,2.5,19
EMP10011,2025-09-01,21,1.0,7.8,20
EMP10011,2025-10-01,21,4.0,10.5,17
EMP10011,2025-11-01,21,1.0,10.2,20
EMP10011,2025-12-01,20,1.0,1.9,19
EMP10011,2026-01-01,18,1.0,4.7,17
EMP10011,2026-02-01,20,3.0,11.7,17
EMP10011,2026-03-01,21,1.0,3.5,20
EMP10011,2026-04-01,21,2.0,5.3,19
EMP10011,2026-05-01,22,4.0,0.0,18
EMP10011,2026-06-01,22,0.0,5.5,22
EMP10012,2025-10-01,20,1.0,9.8,19
EMP10012,2025-11-01,20,1.0,14.0,19
EMP10012,2025-12-01,18,0.0,7.5,18
EMP10012,2026-01-01,18,2.0,7.1,16
EMP10012,2026-02-01,21,1.0,3.9,20
EMP10012,2026-03-01,18,0.0,15.2,18
EMP10012,2026-04-01,21,2.0,7.2,19
EMP10012,2026-05-01,18,0.0,10.8,18
EMP10012,2026-06-01,19,1.0,8.9,18
EMP10013,2022-06-01,21,1.0,3.3,20
EMP10013,2022-07-01,19,2.0,11.5,17
EMP10013,2022-08-01,18,2.0,9.7,16
EMP10013,2022-10-01,18,2.0,3.4,16
EMP10013,2022-11-01,20,2.0,10.9,18
EMP10013,2022-12-01,20,0.0,10.4,20
EMP10013,2023-01-01,22,0.0,1.4,22
EMP10013,2023-02-01,20,0.0,9.0,20
EMP10013,2023-03-01,19,2.0,12.9,17
EMP10013,2023-05-01,20,1.0,1.0,19
EMP10013,2023-06-01,19,1.0,11.0,18
EMP10013,2023-07-01,18,1.0,4.3,17
EMP10013,2023-08-01,20,1.0,2.3,19
EMP10013,2023-09-01,20,0.0,11.0,20
EMP10013,2023-10-01,21,1.0,6.7,20
EMP10013,2023-11-01,21,1.0,5.4,20
EMP10013,2023-12-01,18,1.0,4.5,17
EMP10013,2024-01-01,18,3.0,5.4,15
EMP10013,2024-02-01,19,2.0,5.3,17
EMP10013,2024-03-01,19,3.0,5.4,16
EMP10013,2024-05-01,21,1.0,10.4,20
EMP10013,2024-06-01,19,0.0,5.2,19
EMP10013,2024-07-01,18,1.0,1.7,17
EMP10013,2024-08-01,20,1.0,7.2,19
EMP10013,2024-09-01,21,1.0,6.7,20
EMP10013,2024-10-01,19,0.0,8.5,19
EMP10013,2024-12-01,20,2.0,4.9,18
EMP10013,2025-01-01,18,1.0,2.5,17
EMP10013,2025-02-01,22,1.0,6.9,21
EMP10013,2025-03-01,19,1.0,0.0,18
