Employee_ID,Effective_Date,Annual_Salary,Annual_Bonus,Change_Reason
EMP10009,2026-04-01,166298.0,8315.0,Annual Revision
EMP10010,2024-04-01,71807.0,5745.0,Annual Revision
EMP10010,2025-04-01,79665.0,6373.0,Market Adjustment
EMP10010,2026-04-01,78505.0,2355.0,Promotion
EMP10011,2019-04-01,70348.0,5628.0,Annual Revision
EMP10011,2020-04-01,75892.0,3795.0,Promotion
EMP10011,2021-04-01,81702.0,2451.0,No Change
EMP10011,2022-04-01,88992.0,7119.0,Annual Revision
EMP10011,2023-04-01,102140.0,8171.0,Annual Revision
EMP10011,2024-04-01,117137.0,5857.0,Annual Revision
EMP10011,2025-04-01,126368.0,3791.0,Annual Revision
EMP10011,2026-04-01,141971.0,11358.0,Annual Revision
EMP10012,2025-04-01,32035.0,1602.0,Annual Revision
EMP10012,2026-04-01,35177.0,2814.0,Promotion
EMP10013,2022-04-01,31568.0,947.0,Annual Revision
EMP10013,2023-04-01,34471.0,1034.0,Market Adjustment
EMP10013,2024-04-01,41591.0,2080.0,Market Adjustment
EMP10013,2025-04-01,44993.0,3599.0,Promotion
EMP10013,2026-04-01,48324.0,3866.0,Annual Revision
EMP10014,2024-04-01,44411.0,3553.0,Promotion
EMP10014,2025-04-01,48812.0,5857.0,No Change
EMP10014,2026-04-01,56908.0,6829.0,Annual Revision
EMP10015,2025-04-01,46046.0,2302.0,Annual Revision
EMP10015,2026-04-01,47984.0,1440.0,Annual Revision
EMP10016,2024-04-01,46127.0,3690.0,Annual Revision
EMP10016,2025-04-01,48394.0,2420.0,Promotion
EMP10016,2026-04-01,52843.0,6341.0,Market Adjustment
EMP10017,2024-04-01,40453.0,3236.0,No Change
EMP10017,2025-04-01,48286.0,3863.0,Annual Revision
EMP10017,2026-04-01,51528.0,2576.0,Annual Revision
EMP10018,2021-04-01,62858.0,5029.0,Annual Revision
EMP10018,2022-04-01,66353.0,1991.0,Promotion
EMP10018,2023-04-01,74154.0,2225.0,Annual Revision
EMP10018,2024-04-01,83398.0,4170.0,Annual Revision
EMP10018,2025-04-01,90496.0,4525.0,Market Adjustment
EMP10018,2026-04-01,97807.0,7825.0,Market Adjustment
EMP10019,2019-04-01,67075.0,5366.0,Promotion
EMP10019,2020-04-01,76876.0,2306.0,Promotion
EMP10019,2021-04-01,82386.0,9886.0,Annual Revision
EMP10019,2022-04-01,89736.0,7179.0,Market Adjustment
EMP10019,2023-04-01,108843.0,5442.0,Promotion
EMP10019,2024-04-01,117807.0,14137.0,Annual Revision
EMP10019,2025-04-01,134871.0,4046.0,Market Adjustment
EMP10019,2026-04-01,144654.0,11572.0,Annual Revision
EMP10020,2020-04-01,60089.0,1803.0,Annual Revision
EMP10020,2021-04-01,67509.0,3375.0,Annual Revision
EMP10020,2022-04-01,71752.0,2153.0,Annual Revision
EMP10020,2023-04-01,87590.0,4380.0,Promotion
EMP10020,2024-04-01,102027.0,3061.0,Promotion
EMP10020,2025-04-01,111171.0,5559.0,Annual Revision
EMP10020,2026-04-01,122920.0,6146.0,Annual Revision
EMP10021,2025-04-01,67341.0,5387.0,Promotion
EMP10021,2026-04-01,64999.0,5200.0,Annual Revision
EMP10022,2024-04-01,66141.0,1984.0,Annual Revision
EMP10022,2025-04-01,80168.0,6413.0,Annual Revision
EMP10022,2026-04-01,85247.0,4262.0,Annual Revision
EMP10023,2024-04-01,31977.0,1599.0,Annual Revision
EMP10023,2025-04-01,34873.0,1744.0,Annual Revision
EMP10023,2026-04-01,39388.0,3151.0,Market Adjustment
EMP10024,2023-04-01,33298.0,2664.0,No Change
EMP10024,2024-04-01,34674.0,1040.0,Annual Revision
EMP10024,2025-04-01,36686.0,1834.0,Promotion
EMP10024,2026-04-01,40751.0,2038.0,Annual Revision
EMP10025,2025-04-01,60211.0,7225.0,Annual Revision
EMP10025,2026-04-01,71062.0,3553.0,Annual Revision
EMP10026,2019-04-01,73999.0,3700.0,Annual Revision
EMP10026,2020-04-01,71462.0,3573.0,Annual Revision
EMP10026,2021-04-01,75730.0,3786.0,Annual Revision
EMP10026,2022-04-01,83779.0,6702.0,Market Adjustment
EMP10026,2023-04-01,91271.0,2738.0,Market Adjustment
EMP10026,2024-04-01,103625.0,8290.0,Annual Revision
EMP10026,2025-04-01,114231.0,3427.0,No Change
EMP10026,2026-04-01,132574.0,6629.0,Annual Revision
EMP10027,2026-04-01,93072.0,7446.0,Promotion
EMP10028,2023-04-01,31227.0,1561.0,Annual Revision
EMP10028,2024-04-01,34176.0,1709.0,Promotion
EMP10028,2025-04-01,39508.0,3161.0,Promotion
EMP10028,2026-04-01,44557.0,2228.0,Market Adjustment
EMP10029,2021-04-01,45978.0,2299.0,No Change
EMP10029,2022-04-01,47026.0,3762.0,Promotion
EMP10029,2023-04-01,57932.0,2897.0,Annual Revision
EMP10029,2024-04-01,61393.0,4911.0,Annual Revision
EMP10029,2025-04-01,67795.0,2034.0,Annual Revision
EMP10029,2026-04-01,75231.0,9028.0,Annual Revision
EMP10030,2024-04-01,68182.0,3409.0,Annual Revision
EMP10030,2025-04-01,74297.0,5944.0,Annual Revision
EMP10030,2026-04-01,81212.0,4061.0,Annual Revision
EMP10031,2025-04-01,43031.0,1291.0,Annual Revision
EMP10031,2026-04-01,47008.0,2350.0,Annual Revision
EMP10032,2025-04-01,46527.0,5583.0,Promotion
EMP10032,2026-04-01,49023.0,5883.0,No Change
EMP10033,2021-04-01,45141.0,1354.0,Annual Revision
EMP10033,2022-04-01,44099.0,2205.0,Annual Revision
EMP10033,2023-04-01,47656.0,2383.0,No Change
EMP10033,2024-04-01,52904.0,2645.0,Promotion
EMP10033,2025-04-01,55932.0,2797.0,Annual Revision
EMP10033,2026-04-01,61925.0,4954.0,Annual Revision
EMP10034,2019-04-01,32560.0,1628.0,Annual Revision
EMP10034,2020-04-01,35833.0,1792.0,Market Adjustment
EMP10034,2021-04-01,34683.0,2775.0,Market Adjustment
EMP10034,2022-04-01,35942.0,1078.0,Market Adjustment
EMP10034,2023-04-01,44959.0,3597.0,No Change
EMP10034,2024-04-01,49817.0,5978.0,Market Adjustment
EMP10034,2025-04-01,52537.0,2627.0,Annual Revision
EMP10034,2026-04-01,61951.0,1859.0,Promotion
EMP10035,2019-04-01,91970.0,2759.0,Market Adjustment
EMP10035,2020-04-01,98165.0,4908.0,Annual Revision
EMP10035,2021-04-01,98535.0,2956.0,Annual Revision
EMP10035,2022-04-01,112774.0,9022.0,No Change
EMP10035,2023-04-01,135485.0,10839.0,Annual Revision
EMP10035,2024-04-01,150047.0,12004.0,Annual Revision
EMP10035,2025-04-01,164201.0,19704.0,Market Adjustment
EMP10035,2026-04-01,191708.0,15337.0,Market Adjustment
EMP10036,2025-04-01,32951.0,3954.0,Annual Revision
EMP10036,2026-04-01,35586.0,2847.0,Annual Revision
EMP10037,2026-04-01,63533.0,1906.0,Annual Revision
EMP10038,2023-04-01,45757.0,3661.0,Annual Revision
EMP10038,2024-04-01,48056.0,2403.0,Annual Revision
EMP10038,2025-04-01,56297.0,1689.0,Market Adjustment
EMP10038,2026-04-01,62082.0,7450.0,Annual Revision
EMP10039,2024-04-01,64422.0,1933.0,Market Adjustment
EMP10039,2025-04-01,68705.0,2061.0,Annual Revision
EMP10039,2026-04-01,78193.0,2346.0,Annual Revision
EMP10040,2024-04-01,40087.0,2004.0,No Change
EMP10040,2025-04-01,49281.0,1478.0,Annual Revision
EMP10040,2026-04-01,54993.0,2750.0,Annual Revision
EMP10041,2022-04-01,90554.0,4528.0,No Change
EMP10041,2023-04-01,95118.0,4756.0,Market Adjustment
EMP10041,2024-04-01,108626.0,3259.0,Annual Revision
EMP10041,2025-04-01,122800.0,3684.0,Market Adjustment
EMP10041,2026-04-01,126037.0,6302.0,Market Adjustment
EMP10042,2019-04-01,41065.0,2053.0,No Change
EMP10042,2020-04-01,45960.0,2298.0,Annual Revision
EMP10042,2021-04-01,45361.0,2268.0,Annual Revision
EMP10042,2022-04-01,49585.0,2479.0,Promotion
EMP10042,2023-04-01,60824.0,3041.0,No Change
EMP10042,2024-04-01,62471.0,4998.0,Annual Revision
EMP10042,2025-04-01,71930.0,3596.0,Promotion
EMP10042,2026-04-01,69085.0,3454.0,Annual Revision
EMP10043,2025-04-01,40817.0,3265.0,Annual Revision
EMP10043,2026-04-01,48946.0,2447.0,Annual Revision
EMP10044,2024-04-01,28245.0,2260.0,Annual Revision
EMP10044,2025-04-01,34798.0,2784.0,Annual Revision
EMP10044,2026-04-01,40910.0,4909.0,No Change
EMP10045,2026-04-01,43386.0,3471.0,Annual Revision
EMP10046,2019-04-01,42724.0,3418.0,Annual Revision
EMP10046,2020-04-01,44819.0,2241.0,Promotion
EMP10046,2021-04-01,46160.0,2308.0,Annual Revision
EMP10046,2022-04-01,50331.0,1510.0,Annual Revision
EMP10046,2023-04-01,59333.0,2967.0,Promotion
EMP10046,2024-04-01,61881.0,4951.0,Market Adjustment
EMP10046,2025-04-01,67217.0,2016.0,Promotion
EMP10046,2026-04-01,80514.0,6441.0,Annual Revision
EMP10047,2021-04-01,44059.0,3525.0,Annual Revision
EMP10047,2022-04-01,47762.0,2388.0,Market Adjustment
EMP10047,2023-04-01,54448.0,4356.0,Promotion
EMP10047,2024-04-01,58824.0,7059.0,Market Adjustment
EMP10047,2025-04-01,60339.0,3017.0,Market Adjustment
EMP10047,2026-04-01,66586.0,1998.0,Promotion
EMP10048,2022-04-01,32789.0,2623.0,Promotion
EMP10048,2023-04-01,35509.0,1065.0,Annual Revision
EMP10048,2024-04-01,35217.0,2817.0,Annual Revision
EMP10048,2025-04-01,41452.0,1244.0,No Change
EMP10048,2026-04-01,45304.0,5437.0,Market Adjustment
EMP10049,2025-04-01,89979.0,4499.0,Promotion
EMP10049,2026-04-01,94702.0,4735.0,Annual Revision
EMP10050,2021-04-01,32321.0,2586.0,Market Adjustment
EMP10050,2022-04-01,34370.0,2750.0,Market Adjustment
EMP10050,2023-04-01,36432.0,2915.0,Annual Revision
EMP10050,2024-04-01,42395.0,2120.0,Promotion
EMP10050,2025-04-01,47690.0,1431.0,Annual Revision
EMP10050,2026-04-01,50929.0,4074.0,No Change
EMP10051,2023-04-01,32764.0,1638.0,Market Adjustment
EMP10051,2024-04-01,34832.0,1045.0,Annual Revision
EMP10051,2025-04-01,38282.0,3063.0,Market Adjustment
EMP10051,2026-04-01,39789.0,1989.0,Market Adjustment
EMP10052,2022-04-01,45026.0,3602.0,Market Adjustment
EMP10052,2023-04-01,51523.0,4122.0,Annual Revision
EMP10052,2024-04-01,52962.0,1589.0,Annual Revision
EMP10052,2025-04-01,57467.0,4597.0,Promotion
EMP10052,2026-04-01,65486.0,5239.0,Annual Revision
EMP10053,2022-04-01,43774.0,2189.0,Market Adjustment
EMP10053,2023-04-01,45832.0,3667.0,Market Adjustment
EMP10053,2024-04-01,48781.0,1463.0,Annual Revision
EMP10053,2025-04-01,53842.0,2692.0,Annual Revision
EMP10053,2026-04-01,59211.0,2961.0,Market Adjustment
EMP10054,2021-04-01,45192.0,1356.0,Annual Revision
EMP10054,2022-04-01,48042.0,1441.0,Market Adjustment
EMP10054,2023-04-01,50153.0,2508.0,Market Adjustment
EMP10054,2024-04-01,55690.0,1671.0,Annual Revision
EMP10054,2025-04-01,64521.0,3226.0,Market Adjustment
EMP10054,2026-04-01,63816.0,3191.0,Annual Revision
EMP10055,2019-04-01,71567.0,3578.0,No Change
EMP10055,2020-04-01,75472.0,2264.0,Annual Revision
EMP10055,2021-04-01,76925.0,6154.0,No Change
EMP10055,2022-04-01,84440.0,2533.0,Annual Revision
EMP10055,2023-04-01,101011.0,12121.0,Annual Revision
EMP10055,2024-04-01,105135.0,8411.0,Annual Revision
EMP10055,2025-04-01,113893.0,9111.0,Annual Revision
EMP10055,2026-04-01,129384.0,3882.0,Annual Revision
EMP10056,2020-04-01,32038.0,1602.0,No Change
EMP10056,2021-04-01,34068.0,1703.0,Promotion
EMP10056,2022-04-01,39399.0,1182.0,Market Adjustment
EMP10056,2023-04-01,43782.0,1313.0,Promotion
EMP10056,2024-04-01,46884.0,5626.0,Annual Revision
EMP10056,2025-04-01,53783.0,4303.0,Promotion
EMP10056,2026-04-01,59270.0,4742.0,No Change
EMP10057,2021-04-01,41786.0,3343.0,Annual Revision
EMP10057,2022-04-01,44406.0,2220.0,Promotion
EMP10057,2023-04-01,52844.0,4227.0,Annual Revision
EMP10057,2024-04-01,57078.0,4566.0,Annual Revision
EMP10057,2025-04-01,64505.0,5160.0,Annual Revision
EMP10057,2026-04-01,70451.0,3523.0,Annual Revision
EMP10058,2023-04-01,92584.0,4629.0,Promotion
EMP10058,2024-04-01,103088.0,3093.0,Annual Revision
EMP10058,2025-04-01,108275.0,5414.0,Market Adjustment
EMP10058,2026-04-01,108667.0,3260.0,Market Adjustment
EMP10059,2019-04-01,70278.0,5622.0,Annual Revision
EMP10059,2020-04-01,75622.0,6050.0,Annual Revision
EMP10059,2021-04-01,78038.0,2341.0,Annual Revision
EMP10059,2022-04-01,83033.0,9964.0,Annual Revision
EMP10059,2023-04-01,93321.0,11199.0,Market Adjustment
EMP10059,2024-04-01,104913.0,3147.0,Promotion
EMP10059,2025-04-01,114241.0,3427.0,No Change
EMP10059,2026-04-01,131392.0,15767.0,Annual Revision
EMP10060,2019-04-01,127937.0,3838.0,Annual Revision
EMP10060,2020-04-01,133309.0,10665.0,Annual Revision
EMP10060,2021-04-01,136004.0,10880.0,No Change
EMP10060,2022-04-01,139883.0,6994.0,Annual Revision
EMP10060,2023-04-01,179742.0,21569.0,Market Adjustment
EMP10060,2024-04-01,194353.0,9718.0,Annual Revision
EMP10060,2025-04-01,212047.0,10602.0,Annual Revision
EMP10060,2026-04-01,215628.0,17250.0,Annual Revision
EMP10061,2019-04-01,122476.0,3674.0,Annual Revision
EMP10061,2020-04-01,130041.0,15605.0,Promotion
EMP10061,2021-04-01,150322.0,4510.0,Market Adjustment
EMP10061,2022-04-01,161982.0,12959.0,No Change
EMP10061,2023-04-01,193820.0,9691.0,Annual Revision
EMP10061,2024-04-01,201342.0,6040.0,Market Adjustment
EMP10061,2025-04-01,233695.0,11685.0,Annual Revision
EMP10061,2026-04-01,264693.0,13235.0,Promotion
EMP10062,2021-04-01,32485.0,975.0,Market Adjustment
EMP10062,2022-04-01,32426.0,1621.0,Annual Revision
EMP10062,2023-04-01,39552.0,3164.0,Market Adjustment
EMP10062,2024-04-01,42926.0,1288.0,Annual Revision
EMP10062,2025-04-01,44155.0,1325.0,Market Adjustment
EMP10062,2026-04-01,50745.0,2537.0,No Change
EMP10063,2023-04-01,43142.0,2157.0,Promotion
EMP10063,2024-04-01,46639.0,5597.0,Promotion
EMP10063,2025-04-01,52012.0,4161.0,Market Adjustment
EMP10063,2026-04-01,57207.0,1716.0,Promotion
EMP10064,2023-04-01,42024.0,2101.0,Annual Revision
EMP10064,2024-04-01,48175.0,3854.0,Market Adjustment
EMP10064,2025-04-01,49192.0,2460.0,Promotion
EMP10064,2026-04-01,56121.0,2806.0,Promotion
EMP10065,2024-04-01,41856.0,3348.0,Market Adjustment
EMP10065,2025-04-01,45752.0,2288.0,Market Adjustment
EMP10065,2026-04-01,51534.0,2577.0,Market Adjustment
EMP10066,2022-04-01,31880.0,2550.0,Annual Revision
EMP10066,2023-04-01,34925.0,2794.0,Market Adjustment
EMP10066,2024-04-01,37244.0,1862.0,Annual Revision
EMP10066,2025-04-01,42702.0,2135.0,Annual Revision
EMP10066,2026-04-01,45728.0,3658.0,No Change
EMP10067,2025-04-01,42138.0,5057.0,Market Adjustment
EMP10067,2026-04-01,45702.0,3656.0,No Change
EMP10068,2021-04-01,31586.0,3790.0,Annual Revision
EMP10068,2022-04-01,34187.0,2735.0,Promotion
EMP10068,2023-04-01,37388.0,2991.0,Annual Revision
EMP10068,2024-04-01,43223.0,2161.0,Market Adjustment
EMP10068,2025-04-01,51177.0,2559.0,Annual Revision
EMP10068,2026-04-01,52811.0,1584.0,Annual Revision
EMP10069,2022-04-01,70056.0,8407.0,Market Adjustment
EMP10069,2023-04-01,77522.0,3876.0,Annual Revision
EMP10069,2024-04-01,86399.0,6912.0,No Change
EMP10069,2025-04-01,100672.0,12081.0,Annual Revision
EMP10069,2026-04-01,107635.0,8611.0,Promotion
EMP10070,2024-04-01,32617.0,979.0,Annual Revision
EMP10070,2025-04-01,34766.0,1738.0,Annual Revision
EMP10070,2026-04-01,36063.0,2885.0,No Change
EMP10071,2021-04-01,63503.0,3175.0,Market Adjustment
EMP10071,2022-04-01,69006.0,5520.0,Annual Revision
EMP10071,2023-04-01,76668.0,9200.0,No Change
EMP10071,2024-04-01,89740.0,7179.0,Annual Revision
EMP10071,2025-04-01,96434.0,2893.0,No Change
EMP10071,2026-04-01,110972.0,5549.0,Annual Revision
EMP10072,2025-04-01,117567.0,3527.0,Annual Revision
EMP10072,2026-04-01,137656.0,6883.0,Annual Revision
EMP10073,2025-04-01,66906.0,3345.0,Annual Revision
EMP10073,2026-04-01,73053.0,5844.0,Market Adjustment
EMP10074,2025-04-01,45082.0,1352.0,Market Adjustment
EMP10074,2026-04-01,48340.0,3867.0,Annual Revision
EMP10075,2024-04-01,98669.0,2960.0,Annual Revision
EMP10075,2025-04-01,97518.0,4876.0,Market Adjustment
EMP10075,2026-04-01,114631.0,5732.0,Promotion
EMP10076,2022-04-01,68149.0,8178.0,Market Adjustment
EMP10076,2023-04-01,68642.0,5491.0,Annual Revision
EMP10076,2024-04-01,77244.0,3862.0,Annual Revision
EMP10076,2025-04-01,86901.0,2607.0,Annual Revision
EMP10076,2026-04-01,97829.0,4891.0,Annual Revision
EMP10077,2023-04-01,33559.0,4027.0,Annual Revision
EMP10077,2024-04-01,35320.0,1060.0,Market Adjustment
EMP10077,2025-04-01,42227.0,3378.0,Promotion
EMP10077,2026-04-01,41319.0,2066.0,Annual Revision
EMP10078,2019-04-01,32609.0,3913.0,Annual Revision
EMP10078,2020-04-01,31664.0,2533.0,Annual Revision
EMP10078,2021-04-01,37522.0,1126.0,Promotion
EMP10078,2022-04-01,41308.0,3305.0,Market Adjustment
EMP10078,2023-04-01,52276.0,6273.0,Market Adjustment
EMP10078,2024-04-01,53514.0,6422.0,No Change
EMP10078,2025-04-01,60059.0,3003.0,Annual Revision
EMP10078,2026-04-01,68300.0,8196.0,Annual Revision
EMP10079,2021-04-01,67573.0,5406.0,Annual Revision
EMP10079,2022-04-01,75556.0,2267.0,Annual Revision
EMP10079,2023-04-01,86388.0,6911.0,Promotion
EMP10079,2024-04-01,93173.0,7454.0,Promotion
EMP10079,2025-04-01,113618.0,9089.0,Market Adjustment
EMP10079,2026-04-01,119387.0,9551.0,Annual Revision
EMP10080,2026-04-01,42002.0,1260.0,Annual Revision
EMP10081,2022-04-01,41875.0,2094.0,Annual Revision
EMP10081,2023-04-01,43858.0,2193.0,Promotion
EMP10081,2024-04-01,50874.0,1526.0,Market Adjustment
EMP10081,2025-04-01,52687.0,2634.0,No Change
EMP10081,2026-04-01,58741.0,2937.0,Annual Revision
EMP10082,2026-04-01,67657.0,5413.0,Annual Revision
EMP10083,2020-04-01,42002.0,1260.0,Promotion
EMP10083,2021-04-01,48348.0,5802.0,Annual Revision
EMP10083,2022-04-01,49999.0,4000.0,Promotion
EMP10083,2023-04-01,52729.0,4218.0,Market Adjustment
EMP10083,2024-04-01,55669.0,2783.0,Market Adjustment
EMP10083,2025-04-01,62721.0,5018.0,Annual Revision
EMP10083,2026-04-01,75895.0,3795.0,Annual Revision
EMP10084,2026-04-01,31080.0,1554.0,Market Adjustment
EMP10085,2025-04-01,64035.0,3202.0,Annual Revision
EMP10085,2026-04-01,68337.0,5467.0,Promotion
EMP10086,2024-04-01,46269.0,1388.0,Promotion
EMP10086,2025-04-01,49724.0,2486.0,Annual Revision
EMP10086,2026-04-01,53612.0,6433.0,Annual Revision
EMP10087,2024-04-01,62338.0,3117.0,Annual Revision
EMP10087,2025-04-01,68420.0,5474.0,Promotion
EMP10087,2026-04-01,75335.0,3767.0,Annual Revision
EMP10088,2024-04-01,44292.0,1329.0,Promotion
EMP10088,2025-04-01,52067.0,4165.0,Annual Revision
EMP10088,2026-04-01,56064.0,4485.0,Promotion
EMP10089,2022-04-01,44409.0,2220.0,Annual Revision
EMP10089,2023-04-01,51179.0,4094.0,Annual Revision
EMP10089,2024-04-01,54682.0,1640.0,Annual Revision
EMP10089,2025-04-01,58960.0,4717.0,Annual Revision
EMP10089,2026-04-01,61224.0,7347.0,Annual Revision
EMP10090,2024-04-01,41431.0,3315.0,Annual Revision
EMP10090,2025-04-01,43222.0,2161.0,Promotion
EMP10090,2026-04-01,50090.0,4007.0,Annual Revision
EMP10091,2019-04-01,71028.0,5682.0,No Change
EMP10091,2020-04-01,71022.0,3551.0,Market Adjustment
EMP10091,2021-04-01,75530.0,6042.0,Annual Revision
EMP10091,2022-04-01,83971.0,4199.0,Annual Revision
EMP10091,2023-04-01,100008.0,5000.0,Market Adjustment
EMP10091,2024-04-01,103351.0,3101.0,Annual Revision
EMP10091,2025-04-01,118995.0,14279.0,Annual Revision
EMP10091,2026-04-01,134127.0,6706.0,Market Adjustment
EMP10092,2024-04-01,31589.0,1579.0,No Change
EMP10092,2025-04-01,33298.0,2664.0,Annual Revision
EMP10092,2026-04-01,38813.0,1164.0,Market Adjustment
EMP10093,2023-04-01,33366.0,1668.0,Market Adjustment
EMP10093,2024-04-01,34830.0,4180.0,Annual Revision
EMP10093,2025-04-01,40800.0,1224.0,Market Adjustment
EMP10093,2026-04-01,44660.0,2233.0,Annual Revision
EMP10094,2025-04-01,31642.0,2531.0,Annual Revision
EMP10094,2026-04-01,33722.0,1012.0,Annual Revision
EMP10095,2025-04-01,31829.0,2546.0,Annual Revision
EMP10095,2026-04-01,32200.0,966.0,No Change
EMP10096,2023-04-01,92446.0,2773.0,Annual Revision
EMP10096,2024-04-01,100436.0,3013.0,Market Adjustment
EMP10096,2025-04-01,106614.0,8529.0,Annual Revision
EMP10096,2026-04-01,110578.0,3317.0,Market Adjustment
EMP10097,2020-04-01,44553.0,1337.0,Annual Revision
EMP10097,2021-04-01,48136.0,3851.0,Promotion
EMP10097,2022-04-01,48986.0,2449.0,No Change
EMP10097,2023-04-01,59306.0,2965.0,Market Adjustment
EMP10097,2024-04-01,61340.0,4907.0,No Change
EMP10097,2025-04-01,68956.0,3448.0,Annual Revision
EMP10097,2026-04-01,80256.0,2408.0,Annual Revision
EMP10098,2021-04-01,44154.0,2208.0,Annual Revision
EMP10098,2022-04-01,46589.0,3727.0,Market Adjustment
EMP10098,2023-04-01,52486.0,1575.0,Market Adjustment
EMP10098,2024-04-01,58710.0,4697.0,Annual Revision
EMP10098,2025-04-01,62454.0,4996.0,Annual Revision
EMP10098,2026-04-01,69144.0,5532.0,Annual Revision
EMP10099,2022-04-01,43013.0,2151.0,Annual Revision
EMP10099,2023-04-01,48245.0,5789.0,Annual Revision
EMP10099,2024-04-01,51241.0,2562.0,Annual Revision
EMP10099,2025-04-01,60502.0,4840.0,Annual Revision
EMP10099,2026-04-01,62468.0,7496.0,Promotion
EMP10100,2021-04-01,127475.0,10198.0,Annual Revision
EMP10100,2022-04-01,137528.0,11002.0,Promotion
EMP10100,2023-04-01,147246.0,4417.0,No Change
EMP10100,2024-04-01,159590.0,4788.0,Annual Revision
EMP10100,2025-04-01,183081.0,5492.0,Annual Revision
EMP10100,2026-04-01,200504.0,24060.0,Market Adjustment
EMP10101,2024-04-01,71389.0,3569.0,No Change
EMP10101,2025-04-01,78293.0,3915.0,Market Adjustment
EMP10101,2026-04-01,84090.0,6727.0,Promotion
EMP10102,2020-04-01,90248.0,2707.0,Annual Revision
EMP10102,2021-04-01,101349.0,12162.0,Market Adjustment
EMP10102,2022-04-01,108129.0,3244.0,Annual Revision
EMP10102,2023-04-01,128711.0,15445.0,Annual Revision
EMP10102,2024-04-01,132846.0,6642.0,Annual Revision
EMP10102,2025-04-01,160372.0,4811.0,Market Adjustment
EMP10102,2026-04-01,172377.0,8619.0,Annual Revision
EMP10103,2021-04-01,46060.0,1382.0,Annual Revision
EMP10103,2022-04-01,49907.0,1497.0,Market Adjustment
EMP10103,2023-04-01,52016.0,1560.0,Annual Revision
EMP10103,2024-04-01,59687.0,4775.0,Annual Revision
EMP10103,2025-04-01,67842.0,2035.0,Annual Revision
EMP10103,2026-04-01,69767.0,3488.0,Annual Revision
EMP10104,2023-04-01,41338.0,4961.0,Annual Revision
EMP10104,2024-04-01,45378.0,1361.0,Market Adjustment
EMP10104,2025-04-01,51375.0,1541.0,Promotion
EMP10104,2026-04-01,51079.0,4086.0,Annual Revision
EMP10105,2021-04-01,67881.0,2036.0,Annual Revision
EMP10105,2022-04-01,75643.0,2269.0,Promotion
